setting,g,base_rate_parameter,regime,budget_fraction,method,groups,coefficient_mse,coefficient_mse_se,gradient_mse,gradient_mse_se,conditional_bias_sq,conditional_bias_sq_se,gradient_bias_sq,gradient_bias_sq_se,expected_cost,expected_cost_se,expected_query_count,expected_query_count_se,complete_group_probability,complete_group_probability_se,schedule_cpu_seconds,schedule_cpu_seconds_se,schedule_wall_seconds,schedule_wall_seconds_se,expected_completion_cpu_seconds,expected_completion_cpu_seconds_se,total_algorithm_cpu_seconds,total_algorithm_cpu_seconds_se,realized_success_fraction,realized_success_fraction_se,true_probability_mean,true_probability_mean_se
g16_base0.05_overconfident,16,0.05,overconfident,0.5,whole_group_cv,256,11.650832486379148,0.1543560587079103,0.2718098775012128,0.01145570490755104,9.432596020309673e-32,4.719088700122311e-33,1.954562916114773e-33,1.7356795176002706e-34,8.0,4.5854796251689384e-17,8.0,0.0,0.5,0.0,2.089843750122111e-06,6.812141268590894e-08,2.5684839783934876e-06,6.247740458649539e-08,0.0005394335937503672,1.7806763829209207e-06,0.0005415234375004893,1.7706128439997093e-06,0.21240234375,0.006487518132735802,0.2234098118809702,0.001369422191449648
g16_base0.05_overconfident,16,0.05,overconfident,0.5,rr_fixed,256,13.025929636613341,0.5654104556088488,0.29734452402026584,0.01784551194211161,1.9504157233336936e-31,1.3180996747384294e-32,3.6078197077145217e-33,3.717165904998112e-34,8.0,6.218492760847781e-17,9.030083695275668,0.030583427736102446,0.24451519128128768,0.0013283776774356219,0.0002132500000000953,1.0572752159895158e-06,0.0002171144587919116,1.8922553302996263e-06,0.005162875731749913,1.6906939123232532e-05,0.0053761257317500085,1.7013443854052384e-05,0.21240234375,0.006487518132735802,0.2234098118809702,0.001369422191449648
g16_base0.05_overconfident,16,0.05,overconfident,0.5,rr_model,256,12.13422339692514,0.5844333163784229,0.2807033844904817,0.017007763637617884,2.375712083139107e-31,1.6332964423941263e-32,4.635868587055186e-33,4.689299982797172e-34,8.0,6.140269612264461e-17,8.985754169612314,0.03629433030154293,0.1836494121523803,0.0033431592311081544,0.005175351562499958,7.49256408277589e-06,0.005211029800193501,9.774311553983789e-06,0.005140562331123846,1.971054800359561e-05,0.010315913893623803,2.2213415296450677e-05,0.21240234375,0.006487518132735802,0.2234098118809702,0.001369422191449648
g16_base0.05_overconfident,16,0.05,overconfident,0.75,whole_group_cv,256,3.883610828793049,0.05145201956930344,0.09060329250040428,0.003818568302517013,3.961361070817523e-31,2.559650948833784e-32,8.083740464648037e-33,8.041650994894503e-34,12.0,6.140269612264461e-17,12.0,0.0,0.75,0.0,1.7734374999217595e-06,5.763668949681099e-08,2.264454451506026e-06,4.998414863854579e-08,0.0005470781250003741,1.8361938572486132e-06,0.0005488515625002958,1.83313759694202e-06,0.21240234375,0.006487518132735802,0.2234098118809702,0.001369422191449648
g16_base0.05_overconfident,16,0.05,overconfident,0.75,rr_fixed,256,3.419940605926873,0.20318874688166072,0.07930343044051434,0.00592761384646463,1.846252384253027e-31,1.088367886234833e-32,3.3818339068660395e-33,3.296982530252696e-34,12.0,1.0241651802216421e-16,12.731323739049508,0.02521522579786811,0.455802565115013,0.0019441965019214552,0.00021040234374995748,7.926357451816957e-07,0.00021221798851911444,1.0012598007576101e-06,0.007065097345773484,1.5655251682116396e-05,0.007275499689523441,1.5693662953051075e-05,0.21240234375,0.006487518132735802,0.2234098118809702,0.001369422191449648
g16_base0.05_overconfident,16,0.05,overconfident,0.75,rr_model,256,3.520124971931234,0.27226625587192127,0.08212962081842443,0.007181555665643726,2.1180538683767527e-31,1.2785060401897631e-32,4.0436244207502094e-33,3.191572407924473e-34,12.0,1.0904548618186932e-16,12.816144635740422,0.03354279413256163,0.32245238898081197,0.0054002085380618625,0.005174250000000047,7.329219824447402e-06,0.005209440687394817,9.504951256450308e-06,0.007109230299522465,1.9461495168820873e-05,0.012283480299522512,2.2040992084098885e-05,0.21240234375,0.006487518132735802,0.2234098118809702,0.001369422191449648
g16_base0.05_shifted,16,0.05,shifted,0.25,whole_group_cv,256,40.53292781891275,0.6263073740551087,0.9362358867214439,0.047305227022843586,2.3560364213237998e-31,7.401657087953473e-33,4.378659358040999e-33,2.230887736659495e-34,4.0,2.331934785317918e-17,4.0,0.0,0.25,0.0,3.0156249999080398e-06,1.1166201379763088e-07,3.5512584872776642e-06,1.1321821561278931e-07,0.0005323515624995404,1.744328319543564e-06,0.0005353671874994484,1.7479652008411833e-06,0.850341796875,0.005530509245808694,0.8481355611932409,0.0014790763592118397
g16_base0.05_shifted,16,0.05,shifted,0.25,rr_fixed,256,129.7850671279357,1.8202422723492055,2.779766609977476,0.0903609470357192,4.443370945869463e-31,1.1140874384535297e-32,8.24512377510431e-33,3.822223552513313e-34,4.0,3.1334432152427163e-17,4.900605051710186,0.025756420843190367,0.10242822164687967,0.0006806753221606455,0.0002255976562500761,1.1398902823923224e-06,0.00022882154371473007,1.6119452899182087e-06,0.0030508647248083595,1.4091943483017036e-05,0.0032764623810584356,1.4168044004109042e-05,0.850341796875,0.005530509245808694,0.8481355611932409,0.0014790763592118397
g16_base0.05_shifted,16,0.05,shifted,0.25,rr_model,256,123.9538437848492,3.0365797374001917,2.68368926163056,0.10388922333136417,4.51833012171132e-31,1.3136182339001353e-32,8.189778156752334e-33,3.9019081018302e-34,4.0,3.4500727996606063e-17,4.618212848080606,0.022991942950769777,0.09044169830365058,0.0015800513070487858,0.005199417968750175,7.874066507649915e-06,0.0052336686949274736,9.755259838790067e-06,0.0029027996469546966,1.2425744309051308e-05,0.008102217615704871,1.5326189599539182e-05,0.850341796875,0.005530509245808694,0.8481355611932409,0.0014790763592118397
g16_base0.05_shifted,16,0.05,shifted,0.5,whole_group_cv,256,13.510975939637586,0.20876912468503628,0.3120786289071479,0.01576840900761453,2.04991441758153e-31,6.0555747502325594e-33,3.705226158342635e-33,1.827691155860973e-34,8.0,4.663869570635836e-17,8.0,0.0,0.5,0.0,2.0195312500359552e-06,6.766663614588203e-08,2.4758810468483716e-06,5.60576175605483e-08,0.0005398671874994737,1.7620818251884124e-06,0.0005418867187495097,1.7541015260323917e-06,0.850341796875,0.005530509245808694,0.8481355611932409,0.0014790763592118397
