setting,g,base_rate_parameter,regime,budget_fraction,baseline,groups,coefficient_mse_difference,coefficient_mse_difference_se,coefficient_mse_ratio_of_means,gradient_mse_difference,gradient_mse_difference_se,gradient_mse_ratio_of_means,expected_cost_difference,expected_cost_difference_se,expected_cost_ratio_of_means,total_algorithm_cpu_seconds_difference,total_algorithm_cpu_seconds_difference_se,total_algorithm_cpu_seconds_ratio_of_means
g16_base0.2_overconfident,16,0.2,overconfident,0.75,rr_fixed,256,0.07748956866561918,0.07303895268121521,1.0249127557467976,0.0014781014624973968,0.0025294325100622002,1.0181534286183398,-2.0122792321330962e-16,1.2624360547420532e-16,1.0,0.004972044724145131,8.70072055114275e-06,1.669711459316965
g16_base0.2_shifted,16,0.2,shifted,0.25,whole_group_cv,256,21.186638141672123,0.9803909308292399,1.5357067969653937,0.4619796910988811,0.036869163795848606,1.4167185474248274,-2.7582103268031233e-16,3.563132651143561e-17,1.0,0.007553703327605207,1.1861928321724747e-05,15.07836608423186
g16_base0.2_shifted,16,0.2,shifted,0.25,rr_fixed,256,-13.141720173867746,0.8347816934907379,0.822114238708699,-0.2585272030424522,0.03131927032012323,0.858660346629771,2.949029909160572e-17,3.886056941620547e-17,1.0,0.004619713913452048,9.100064844182618e-06,2.331123932600878
g16_base0.2_shifted,16,0.2,shifted,0.5,whole_group_cv,256,10.4535480916928,0.4846511161049241,1.7929578153472656,0.2284650268717059,0.018184735027600863,1.618245450848015,-6.071532165918825e-16,6.788659560440944e-17,1.0,0.009872151511466403,1.821703647376545e-05,19.18101943035234
g16_base0.2_shifted,16,0.2,shifted,0.5,rr_fixed,256,-0.3878220548079604,0.3699862468794832,0.9838571270133325,0.012050171953088419,0.012765252527627393,1.0205650969906666,-1.700029006457271e-16,7.171693417398643e-17,1.0,0.004805585814479815,1.0480954027057686e-05,1.8566781756134194
g16_base0.2_shifted,16,0.2,shifted,0.75,whole_group_cv,256,5.414985525297142,0.26703120183401113,2.2322672803377395,0.1230239167239304,0.01001588146761072,1.9987389917160372,-1.304512053934559e-15,1.0903163297897001e-16,1.0,0.011880190799334875,1.7407194223063337e-05,22.596972380933174
g16_base0.2_shifted,16,0.2,shifted,0.75,rr_fixed,256,1.9655226643635768,0.2004559058051524,1.2505832856195664,0.053376246759220314,0.0069700261361738194,1.2768091076797248,-8.326672684688674e-17,1.199051952648922e-16,1.0,0.0049917383877395765,9.480752296092675e-06,1.6710644152754086
g16_base0.5_calibrated,16,0.5,calibrated,0.25,whole_group_cv,256,-2.1342990100749013,0.14687665249491974,0.8948196965598325,-0.07960787375172632,0.012439230737576062,0.8750512135668583,-2.5847379792054426e-16,3.8720626251804016e-17,1.0,0.007570336892766384,1.2052438392888083e-05,15.036454427280953
g16_base0.5_calibrated,16,0.5,calibrated,0.25,rr_fixed,256,-4.438553638461609,0.21869061953421207,0.8035696394799391,-0.11638624369477377,0.011907386192370905,0.827295103059892,0.0,3.808033558317022e-17,1.0,0.004518111015937748,8.426885490347656e-06,2.2579801508371187
g16_base0.5_calibrated,16,0.5,calibrated,0.5,whole_group_cv,256,-1.0651807113732974,0.07312460059799156,0.8425206169632367,-0.040408435990014854,0.006189072571750818,0.8097304399426639,-6.036837696399289e-16,7.485913229648881e-17,1.0,0.009903613432792072,1.8133431319736414e-05,19.117617490685113
g16_base0.5_calibrated,16,0.5,calibrated,0.5,rr_fixed,256,-0.7848252871104052,0.06012620211653561,0.8789519014979861,-0.016163147813261235,0.0035209265528776804,0.9140849386612278,-1.249000902703301e-16,8.364230347926366e-17,1.0,0.004688788847720716,9.992866356723456e-06,1.8138204803325133
