split,mechanism,alpha,method,sample_size,target,squared_bias,trace_variance,exact_mse,mc_mean_squared_error,mc_standard_error
diagnostic,length,0.45,oracle_ipw,64,full_alpha1_population_gradient,0.0006926062447134418,0.00021600266659670524,0.000908608911310147,0.0009346834791955352,1.2386153900437834e-05
diagnostic,length,0.5,unweighted,64,full_alpha1_population_gradient,0.0005970595092513522,0.00018861974540770464,0.0007856792546590568,0.000805145165509739,1.0273431740268493e-05
diagnostic,length,0.5,oracle_ipw,64,full_alpha1_population_gradient,0.0005724018551350759,0.00022420296671610566,0.0007966048218511815,0.0008213657805438515,1.1592518507030667e-05
diagnostic,length,0.55,unweighted,64,full_alpha1_population_gradient,0.00048275447666089105,0.0001961387095536186,0.0006788931862145096,0.0006974457945845206,9.538364953861503e-06
diagnostic,length,0.55,oracle_ipw,64,full_alpha1_population_gradient,0.0004636455026594115,0.00023338757135902188,0.0006970330740184334,0.0007204086612059904,1.079750733738616e-05
diagnostic,length,0.6000000000000001,unweighted,64,full_alpha1_population_gradient,0.0003807096452184329,0.0002044743744089161,0.000585184019627349,0.0006027628201816514,8.796620788652673e-06
diagnostic,length,0.6000000000000001,oracle_ipw,64,full_alpha1_population_gradient,0.00036633718728644845,0.00024355648052545384,0.0006098936678119023,0.0006318121211819517,9.993934207019566e-06
diagnostic,length,0.65,unweighted,64,full_alpha1_population_gradient,0.0002909250149239774,0.00021362673997359706,0.0005045517548975745,0.0005210962423011318,8.040689784904247e-06
diagnostic,length,0.65,oracle_ipw,64,full_alpha1_population_gradient,0.00028047690901618724,0.0002547096942154026,0.0005351866032315899,0.0005555761604717357,9.177386779758812e-06
diagnostic,length,0.7000000000000001,unweighted,64,full_alpha1_population_gradient,0.00021340058577752467,0.00022359580624766134,0.000436996392025186,0.00045244606094296114,7.26633991826593e-06
diagnostic,length,0.7000000000000001,oracle_ipw,64,full_alpha1_population_gradient,0.0002060646678486274,0.0002668472124288673,0.0004729118802774947,0.0004917007790753419,8.3475122018042e-06
diagnostic,length,0.75,unweighted,64,full_alpha1_population_gradient,0.0001481363577790744,0.00023438157323110912,0.0003825179310101835,0.00039681227610713994,6.474434308767264e-06
diagnostic,length,0.75,oracle_ipw,64,full_alpha1_population_gradient,0.00014310046378376889,0.00027996903516584813,0.000423069498949617,0.00044018597699277054,7.510219032564791e-06
diagnostic,length,0.8,unweighted,64,full_alpha1_population_gradient,9.513233092862647e-05,0.00024598404092393984,0.0003411163718525663,0.00035419488779366774,5.674432278366753e-06
diagnostic,length,0.8,oracle_ipw,64,full_alpha1_population_gradient,9.158429682161187e-05,0.00029407516242634503,0.0003856594592479569,0.00040103175422402166,6.681630869438913e-06
diagnostic,length,0.8500000000000001,unweighted,64,full_alpha1_population_gradient,5.4388505226181056e-05,0.0002584032093261551,0.0003127917145523361,0.00032459389600254476,4.891517813042717e-06
diagnostic,length,0.8500000000000001,oracle_ipw,64,full_alpha1_population_gradient,5.151616696215674e-05,0.00030916559421035786,0.0003606817611725146,0.00037423811076909506,5.895187546354039e-06
diagnostic,length,0.9,unweighted,64,full_alpha1_population_gradient,2.5904880671738285e-05,0.0002716390784377528,0.0002975439591094911,0.00030800930073377115,4.180923955590588e-06
diagnostic,length,0.9,oracle_ipw,64,full_alpha1_population_gradient,2.2896074205402943e-05,0.0003252403305178873,0.00034813640472329023,0.00035980504662799117,5.213232946931755e-06
diagnostic,length,0.9500000000000001,unweighted,64,full_alpha1_population_gradient,9.68145726529821e-06,0.0002856916482587341,0.0002953731055240323,0.00030444110198734654,3.651188161652427e-06
diagnostic,length,0.9500000000000001,oracle_ipw,64,full_alpha1_population_gradient,5.724018551350749e-06,0.00034229937134893257,0.0003480233899002833,0.00035773256180070934,4.7394670434727216e-06
diagnostic,length,1.0,unweighted,64,full_alpha1_population_gradient,5.7182350068605786e-06,0.00030056091878909825,0.00030627915379595884,0.0003138892997632714,3.4708039554941966e-06
diagnostic,length,1.0,oracle_ipw,64,full_alpha1_population_gradient,3.9683041625815685e-37,0.0003603427167034944,0.0003603427167034944,0.0003680206562872501,4.609724319073072e-06
diagnostic,edit_length,0.0,unweighted,64,full_alpha1_population_gradient,0.0019437293281949477,0.00018497890850156998,0.002128708236696518,0.00211563222242373,1.8172403702252395e-05
diagnostic,edit_length,0.0,oracle_ipw,64,full_alpha1_population_gradient,0.0022896074205403043,0.00015482383610239606,0.0024444312566427005,0.002435320755849273,1.7759784496594744e-05
diagnostic,edit_length,0.05,unweighted,64,full_alpha1_population_gradient,0.001746636820254874,0.0001841505471546216,0.0019307873674094956,0.0019193272602995154,1.6964970847089376e-05
diagnostic,edit_length,0.05,oracle_ipw,64,full_alpha1_population_gradient,0.0020663706970376235,0.00015415424589221673,0.0022205249429298403,0.002213038381113565,1.66128474699997e-05
diagnostic,edit_length,0.1,unweighted,64,full_alpha1_population_gradient,0.0015601225678544266,0.00018408261381332037,0.001744205181667747,0.0017342405381255842,1.583391843191633e-05
