adapter_id,mechanism,alpha,method,step_size,gradient_norm,reporting_examples,baseline_mean_nll,adapted_mean_nll,nll_change,nll_change_se
14,edit,0.5,sampled_Q,1.0,0.05890702402511176,256,1.970115694970462,1.9664653213408934,-0.0036503736295687146,0.00017552847397030473
15,edit,0.5,sampled_Q,10.0,0.05890702402511176,256,1.970115694970462,1.9390215919160616,-0.031094103054400486,0.0017102688728346251
16,edit,0.5,oracle_ipw,1.0,0.05386081451671389,256,1.970115694970462,1.9668039004315228,-0.00331179453893919,0.000158283496606241
17,edit,0.5,oracle_ipw,10.0,0.05386081451671389,256,1.970115694970462,1.9414349933418982,-0.02868070162856362,0.0015459035991946517
18,edit,0.75,population_P,1.0,0.057615516017750175,256,1.970115694970462,1.9664337148647428,-0.003681980105719203,0.0001714103375291122
19,edit,0.75,population_P,10.0,0.057615516017750175,256,1.970115694970462,1.938508945320964,-0.031606749649497834,0.0016703521978418362
20,edit,0.75,sampled_Q,1.0,0.06977896921384127,256,1.970115694970462,1.9657850920273332,-0.004330602943128644,0.0002097004995533615
21,edit,0.75,sampled_Q,10.0,0.06977896921384127,256,1.970115694970462,1.9346273580765567,-0.03548833689390514,0.002034378738668604
22,edit,0.75,oracle_ipw,1.0,0.0676552276075133,256,1.970115694970462,1.9659764833634688,-0.004139211606993135,0.00019988960312093936
23,edit,0.75,oracle_ipw,10.0,0.0676552276075133,256,1.970115694970462,1.9359046046263755,-0.03421109034408648,0.0019419159348231505
24,edit,1.0,population_P,1.0,0.0693403546343412,256,1.970115694970462,1.9656979653735498,-0.004417729596912014,0.0002067973911180128
25,edit,1.0,population_P,10.0,0.0693403546343412,256,1.970115694970462,1.9336180484845698,-0.03649764648589236,0.0020058401949701815
26,edit,1.0,sampled_Q,1.0,0.08081275385547113,256,1.970115694970462,1.9651092794272669,-0.005006415543195191,0.00024385112910612359
27,edit,1.0,sampled_Q,10.0,0.08081275385547113,256,1.970115694970462,1.9307569088865346,-0.03935878608392729,0.002356352447773405
28,edit,1.0,oracle_ipw,1.0,0.08165455680356197,256,1.970115694970462,1.965155663326294,-0.00496003164416779,0.00024145513541668794
29,edit,1.0,oracle_ipw,10.0,0.08165455680356197,256,1.970115694970462,1.9311531187645015,-0.0389625762059605,0.002334642027827205
30,length,0.0,population_P,1.0,0.023898576671489428,256,1.970115694970462,1.9686694616331661,-0.001446233337295729,6.535304553204989e-05
31,length,0.0,population_P,10.0,0.023898576671489428,256,1.970115694970462,1.956399671274744,-0.013716023695717793,0.0006471326077349749
32,length,0.0,sampled_Q,1.0,0.025241263614271495,256,1.970115694970462,1.96875809025538,-0.001357604715081773,6.042753235976191e-05
33,length,0.0,sampled_Q,10.0,0.025241263614271495,256,1.970115694970462,1.9571786250933383,-0.012937069877123696,0.0005985092773159955
34,length,0.0,oracle_ipw,1.0,0.026346000612572345,256,1.970115694970462,1.9686819547791983,-0.0014337401912638634,6.199078813060794e-05
