org_code,year,field,source_cell,source_sheet,reason
RBN,2021,wellbeing_action,BVI19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2021,wellbeing_action_n,CCQ19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2021,intent_leave,BWW19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2021,intent_leave_n,CEE19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2021,thinking_about_leaving_score,BUD19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2021,thinking_about_leaving_n,CAP19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2021,work_related_stress,BVJ19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2021,work_related_stress_n,CCR19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2022,burnout_score,BCN19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2022,burnout_n,BKJ19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2022,n_resp,BRJ19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2022,response_rate,BRI19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2022,wellbeing_action,BEI19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2022,wellbeing_action_n,BLW19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2022,intent_leave,BGB19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2022,intent_leave_n,BNP19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2022,thinking_about_leaving_score,BDD19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2022,thinking_about_leaving_n,BJV19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2022,work_related_stress,BEJ19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RBN,2022,work_related_stress_n,BLX19,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2021,burnout_score,BTN42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2021,burnout_n,CBD42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2021,n_resp,CHX42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2021,response_rate,CHW42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2021,wellbeing_action,BVI42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2021,wellbeing_action_n,CCQ42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2021,intent_leave,BWW42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2021,intent_leave_n,CEE42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2021,thinking_about_leaving_score,BUD42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2021,thinking_about_leaving_n,CAP42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2021,work_related_stress,BVJ42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2021,work_related_stress_n,CCR42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2022,burnout_score,BCN42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2022,burnout_n,BKJ42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2022,n_resp,BRJ42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2022,response_rate,BRI42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2022,wellbeing_action,BEI42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2022,wellbeing_action_n,BLW42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2022,intent_leave,BGB42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2022,intent_leave_n,BNP42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2022,thinking_about_leaving_score,BDD42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2022,thinking_about_leaving_n,BJV42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2022,work_related_stress,BEJ42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH5,2022,work_related_stress_n,BLX42,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH8,2021,burnout_score,BTN43,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH8,2021,burnout_n,CBD43,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH8,2021,n_resp,CHX43,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH8,2021,response_rate,CHW43,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH8,2021,wellbeing_action,BVI43,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH8,2021,wellbeing_action_n,CCQ43,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH8,2021,intent_leave,BWW43,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH8,2021,intent_leave_n,CEE43,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH8,2021,thinking_about_leaving_score,BUD43,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH8,2021,thinking_about_leaving_n,CAP43,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH8,2021,work_related_stress,BVJ43,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RH8,2021,work_related_stress_n,CCR43,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
