cell_id,seed,reps,units,n_lo,n_hi,n_min,n_max,phi,sigma2,psi,trend,error_kind,response_bias,gaussian_exact,fraction,k,method,out_of_range_fraction,hit_mean,hit_mcse,hit_p10,hit_p90,latent_regret_mean,latent_regret_mcse,latent_regret_p10,latent_regret_p90,state_mse_mean,state_mse_mcse,state_mse_p10,state_mse_p90,rebound_mean,rebound_mcse,rebound_p10,rebound_p90,predicted_rebound_mean,predicted_rebound_mcse,predicted_rebound_p10,predicted_rebound_p90,rebound_residual_mean,rebound_residual_mcse,rebound_residual_p10,rebound_residual_p90
0,16564630494283621571,5000,80,20,120,21,112,0.85,6.25,0.0,0.0,t3,0.0,False,0.4,32,raw,0.00022333333333333333,0.747125,0.0007986058503798054,0.6875,0.8125,0.0752144957121268,0.000338261090238006,0.0461297788346136,0.10682490081389164,0.14645809680689287,0.0018559043981176639,0.07994145528678177,0.2189210417617185,0.23995106043875422,0.0014297434221107,0.11319580641857004,0.36793327499595463,0.26827718098405967,0.0007818047847125926,0.20266428080277157,0.33849190128561135,-0.0283261205453054,0.0011651052863874412,-0.13242924754265412,0.07487764114980673
0,16564630494283621571,5000,80,20,120,21,112,0.85,6.25,0.0,0.0,t3,0.0,False,0.4,32,equal_history,0.00022333333333333333,0.71946875,0.0008231946289103892,0.65625,0.78125,0.08478579990456603,0.00034853118974816587,0.05356274042666191,0.11687763432493785,0.06728944664142068,0.00024999798221073534,0.05075068246434968,0.08459741467181778,0.10709462258744602,0.001445938882630065,-0.020693738765827134,0.238174375153351,0.11500052639127799,0.0008697872147553393,0.040449415624799874,0.1927844425367928,-0.007905903803831969,0.001159313751604456,-0.10973981905540245,0.09413062680219911
0,16564630494283621571,5000,80,20,120,21,112,0.85,6.25,0.0,0.0,t3,0.0,False,0.4,32,geometric_history,0.00022333333333333333,0.74029375,0.0008046727156573439,0.65625,0.8125,0.0734598827058874,0.00031810082184211187,0.04593773409052409,0.10364880025922939,0.059834598512209826,0.0002467222380855199,0.04468040744854055,0.07600807582490361,0.12932092978496768,0.00144160355592455,0.003536450282205554,0.25775128191836505,0.13866696999942604,0.0008557779887216076,0.06553601373553272,0.21622377570029194,-0.009346040214458355,0.0011602351995887283,-0.11165521386717389,0.09240097072128728
0,16564630494283621571,5000,80,20,120,21,112,0.85,6.25,0.0,0.0,t3,0.0,False,0.4,32,gaussian_posterior,0.00022333333333333333,0.77095625,0.0007582211316920736,0.71875,0.84375,0.059545356477926054,0.00027966793484692106,0.035300166528254184,0.0852072635822042,0.04477943245673658,0.0003324457409610009,0.033134899747596154,0.0565056327781983,0.16725076843620326,0.0014334513569282284,0.0408066134670163,0.2955179960473826,0.1816518521049147,0.0008435413313030563,0.10952056148558369,0.2579858863496944,-0.014401083668711435,0.0011482834078742356,-0.11802858313263886,0.08694684371888808
0,16564630494283621571,5000,80,20,120,21,112,0.85,6.25,0.0,0.0,t3,0.0,False,0.4,32,independent_error_posterior,0.00022333333333333333,0.77095625,0.0007582211316920736,0.71875,0.84375,0.059545356477926054,0.00027966793484692106,0.035300166528254184,0.0852072635822042,0.04477943245673658,0.0003324457409610009,0.033134899747596154,0.0565056327781983,0.16725076843620326,0.0014334513569282284,0.0408066134670163,0.2955179960473826,0.1816518521049147,0.0008435413313030563,0.10952056148558369,0.2579858863496944,-0.014401083668711435,0.0011482834078742356,-0.11802858313263886,0.08694684371888808
1,3944979341761440703,5000,80,20,120,20,114,0.85,6.25,0.0,-0.25,gaussian,0.0,True,0.1,8,raw,0.0,0.4449,0.0021154061048880707,0.25,0.625,0.20022194504518603,0.0011265385624318767,0.10344170723591964,0.3077742190199897,0.1434590440159416,0.00035750082040173647,0.11309522990144644,0.17711422063197813,0.2999093200226633,0.002745339535525643,0.05549187519200904,0.5487868707632846,0.3003601694825516,0.0013478750392388003,0.1810916664289536,0.4250598954807249,-0.0004508494598883487,0.002406818682257863,-0.21755732522477275,0.21395014700215317
1,3944979341761440703,5000,80,20,120,20,114,0.85,6.25,0.0,-0.25,gaussian,0.0,True,0.1,8,equal_history,0.0,0.484825,0.00210783240948926,0.25,0.625,0.16498431341675884,0.0009678021872112097,0.08096454298290849,0.2556469130299646,0.06596597496854183,0.0001494270583454039,0.05298026826109329,0.07986204035297971,-0.04517526649885182,0.002910655497506803,-0.30437528133572855,0.21426062871232182,-0.04497447955251509,0.0016988785723124978,-0.19490800788046536,0.10522224954402908,-0.0002007869463367218,0.0023525602193234726,-0.21503186434496904,0.21184287401316418
1,3944979341761440703,5000,80,20,120,20,114,0.85,6.25,0.0,-0.25,gaussian,0.0,True,0.1,8,geometric_history,0.0,0.515975,0.0020803726745689147,0.375,0.75,0.1448883570810836,0.0008934194945754204,0.06676461081039378,0.2276982602555173,0.058493548902696556,0.00013381539324876614,0.04694395182248495,0.07078148396076583,0.004970816733918975,0.002892585722789725,-0.25650719616662415,0.2675851604026745,0.006776653561594265,0.0016697506937283343,-0.1409092800695147,0.15735646479402268,-0.0018058368276752902,0.0023349466783431612,-0.21310864286911704,0.21018505010279362
1,3944979341761440703,5000,80,20,120,20,114,0.85,6.25,0.0,-0.25,gaussian,0.0,True,0.1,8,gaussian_posterior,0.0,0.55285,0.0020720724400559378,0.375,0.75,0.12014977647294267,0.0007914731587858242,0.051525057244946514,0.19454484105903772,0.043891752471944066,0.00010118595882479964,0.03513730421347582,0.05330069201467492,0.08505906539865525,0.002644438183771939,-0.15428584186995803,0.32290744430943574,0.08821344577592888,0.0014566161073921297,-0.04249235196228094,0.2215901950925132,-0.00315438037727363,0.002196801888318947,-0.2031465309901172,0.19436457399213872
1,3944979341761440703,5000,80,20,120,20,114,0.85,6.25,0.0,-0.25,gaussian,0.0,True,0.1,8,independent_error_posterior,0.0,0.55285,0.0020720724400559378,0.375,0.75,0.12014977647294267,0.0007914731587858242,0.051525057244946514,0.19454484105903772,0.043891752471944066,0.00010118595882479964,0.03513730421347582,0.05330069201467492,0.08505906539865525,0.002644438183771939,-0.15428584186995803,0.32290744430943574,0.08821344577592888,0.0014566161073921297,-0.04249235196228094,0.2215901950925132,-0.00315438037727363,0.002196801888318947,-0.2031465309901172,0.19436457399213872
