setting,g,base_rate_parameter,regime,budget,method,expectation_mode,groups,coefficient_mse,coefficient_mse_se,conditional_bias_sq_mc_corrected,conditional_bias_sq_mc_corrected_se,gradient_mse,gradient_mse_se,gradient_bias_sq_mc_corrected,gradient_bias_sq_mc_corrected_se,expected_cost,expected_cost_se,complete_group_probability,complete_group_probability_se
g16_p0.5_calibrated,16,0.5,calibrated,0.75,ht_then_normalize,Monte Carlo audit masks,256,2.866511077895985,0.03177617483787859,0.22710169342488148,0.009012831450142662,0.06277000173212849,0.0012225330993429482,0.003975128043232868,0.00020347027700474925,12.0,0.0,0.010022595757618546,0.0
g16_p0.5_calibrated,16,0.5,calibrated,0.75,partial_then_normalize,Monte Carlo audit masks,256,2.5625798744814476,0.035413467812524156,0.3012239462930578,0.008059069115480925,0.05849902411084099,0.0012808953786165962,0.006977025368793407,0.0003149629824370839,12.0,0.0,0.010022595757618546,0.0
g16_p0.5_overconfident,16,0.5,overconfident,0.25,full,exact,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.89650645535448e-17,1.0,0.0
g16_p0.5_overconfident,16,0.5,overconfident,0.25,proxy_completion,exact,256,8.480878623878748,0.1263515854516467,8.480878623878748,0.1263515854516467,0.2503611812595453,0.010512501789617098,0.2503611812595453,0.010512501789617098,0.0,0.0,0.0,0.0
g16_p0.5_overconfident,16,0.5,overconfident,0.25,whole_group_cv,exact,256,25.44263587163624,0.37905475635494007,5.486116770880875e-32,2.574623110016433e-33,0.7510835437786361,0.0315375053688513,1.0402106221714369e-33,7.628878317721399e-35,4.0,0.0,0.25,0.0
g16_p0.5_overconfident,16,0.5,overconfident,0.25,rr_fixed,exact,256,31.01848154044908,0.6931784484017345,1.1403457834743387e-31,3.7014968204277556e-33,0.8914065139485563,0.03514788410687837,2.0878477507333562e-33,1.3288033197192543e-34,4.0,3.045435009789741e-17,0.1175772746589297,0.0005316172494704607
g16_p0.5_overconfident,16,0.5,overconfident,0.25,rr_development,exact,256,25.05213650564989,0.45928548723285767,1.4074628912323564e-31,4.314180231629031e-33,0.7295202275958556,0.028556408815195125,2.4752626278341742e-33,1.270078532807033e-34,4.0,3.4104407824809377e-17,0.1778936216166238,0.0003634592304704849
g16_p0.5_overconfident,16,0.5,overconfident,0.25,ht_then_normalize,Monte Carlo audit masks,256,13.407072854720397,0.0767618958522681,3.284581998649868,0.05177428147991662,0.2735967940272469,0.004897718279548348,0.07229457398104436,0.0029287937114647364,4.0,0.0,2.3283064365386963e-10,0.0
g16_p0.5_overconfident,16,0.5,overconfident,0.25,partial_then_normalize,Monte Carlo audit masks,256,10.452777188122042,0.15899328414672853,5.391900317754175,0.10412372731364748,0.25202412931351326,0.007696663139619675,0.1370729102594686,0.006121898189570168,4.0,0.0,2.3283064365386963e-10,0.0
g16_p0.5_overconfident,16,0.5,overconfident,0.5,full,exact,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.89650645535448e-17,1.0,0.0
