scenario,alpha,relative_bias,absolute_bias,derivative_squared,oracle_selection_bias
aligned,0.455,0.3727471704160213,0.7919595949289333,-0.13440707571236538,5.551115123125783e-17
aligned,0.46,0.3718478759701612,0.7919595949289333,-0.13343855349894687,0.0
aligned,0.465,0.3709528973837542,0.7919595949289333,-0.13247929579404064,2.482534153247273e-16
aligned,0.47000000000000003,0.3700622037558484,0.7919595949289335,-0.13152919230839785,0.0
aligned,0.47500000000000003,0.36917576447888983,0.7919595949289333,-0.13058813432137023,0.0
aligned,0.48,0.36829354923525953,0.7919595949289333,-0.12965601465499693,0.0
aligned,0.485,0.36741552799385846,0.7919595949289333,-0.1287327276485782,2.220446049250313e-16
aligned,0.49,0.3665416710067415,0.7919595949289332,-0.127818169133726,0.0
aligned,0.495,0.36567194880579823,0.7919595949289332,-0.12691223640988153,0.0
aligned,0.5,0.36480633219947994,0.7919595949289333,-0.12601482822028962,0.0
aligned,0.505,0.3639447922695724,0.7919595949289333,-0.12512584472842084,2.2887833992611187e-16
aligned,0.51,0.36308730036801384,0.7919595949289332,-0.12424518749483139,0.0
aligned,0.515,0.36223382811375715,0.7919595949289332,-0.12337275945445214,2.220446049250313e-16
aligned,0.52,0.361384347389675,0.7919595949289333,-0.12250846489429824,0.0
aligned,0.525,0.3605388303395086,0.7919595949289333,-0.12165220943158928,2.220446049250313e-16
aligned,0.53,0.3596972493648578,0.7919595949289333,-0.12080389999227313,2.220446049250313e-16
aligned,0.535,0.35885957712221306,0.7919595949289332,-0.1199634447899439,0.0
aligned,0.54,0.3580257865200288,0.7919595949289333,-0.11913075330514653,0.0
aligned,0.545,0.3571958507158351,0.7919595949289333,-0.11830573626505995,5.551115123125783e-17
aligned,0.55,0.35636974311339076,0.7919595949289333,-0.11748830562355105,2.220446049250313e-16
aligned,0.555,0.3555474373598741,0.791959594928933,-0.11667837454159137,0.0
aligned,0.56,0.3547289073431134,0.7919595949289333,-0.11587585736803054,0.0
aligned,0.5650000000000001,0.353914127188852,0.7919595949289333,-0.11508066962071728,2.220446049250313e-16
aligned,0.5700000000000001,0.35310307125805424,0.7919595949289332,-0.11429272796796243,0.0
