adapter_id,mechanism,alpha,method,step_size,gradient_norm,reporting_examples,baseline_mean_nll,adapted_mean_nll,nll_change,nll_change_se
72,edit_length,0.5,population_P,1.0,0.007510668094374515,256,0.792898697422753,0.792840436663125,-5.8260759627914195e-05,3.5449183594476734e-06
73,edit_length,0.5,population_P,10.0,0.007510668094374515,256,0.792898697422753,0.7923222474332303,-0.0005764499895225552,3.542636323002419e-05
74,edit_length,0.5,sampled_Q,1.0,0.01419512198627954,256,0.792898697422753,0.7928334958999399,-6.520152281305747e-05,6.484503719557859e-06
75,edit_length,0.5,sampled_Q,10.0,0.01419512198627954,256,0.792898697422753,0.7922597595167284,-0.000638937906024389,6.468043368817796e-05
76,edit_length,0.5,oracle_ipw,1.0,0.012452831623676778,256,0.792898697422753,0.7928336901150481,-6.500730770485904e-05,5.699946548190767e-06
77,edit_length,0.5,oracle_ipw,10.0,0.012452831623676778,256,0.792898697422753,0.7922598813011069,-0.0006388161216460085,5.6882174818031763e-05
78,edit_length,0.75,population_P,1.0,0.009747841468571725,256,0.792898697422753,0.7928150488218358,-8.364860091710901e-05,4.5551194736373665e-06
79,edit_length,0.75,population_P,10.0,0.009747841468571725,256,0.792898697422753,0.7920749259987957,-0.0008237714239571746,4.5530179336783426e-05
80,edit_length,0.75,sampled_Q,1.0,0.016064231905157045,256,0.792898697422753,0.7928074724517753,-9.122497097759471e-05,7.262361507669041e-06
81,edit_length,0.75,sampled_Q,10.0,0.016064231905157045,256,0.792898697422753,0.7920068817030005,-0.0008918157197523951,7.247217820401289e-05
82,edit_length,0.75,oracle_ipw,1.0,0.01473242716937145,256,0.792898697422753,0.7928066555335502,-9.204188920272092e-05,6.6031581329750805e-06
83,edit_length,0.75,oracle_ipw,10.0,0.01473242716937145,256,0.792898697422753,0.7919973728131806,-0.0009013246095722127,6.59183445710604e-05
84,edit_length,1.0,population_P,1.0,0.012258856788706446,256,0.792898697422753,0.7927896949384814,-0.00010900248427142096,5.729362596870019e-06
85,edit_length,1.0,population_P,10.0,0.012258856788706446,256,0.792898697422753,0.7918309679565728,-0.001067729466180137,5.726940813401374e-05
86,edit_length,1.0,sampled_Q,1.0,0.018419178724228314,256,0.792898697422753,0.7927814907584305,-0.0001172066643224183,8.316674777298329e-06
87,edit_length,1.0,sampled_Q,10.0,0.018419178724228314,256,0.792898697422753,0.7917581513809557,-0.0011405460417971576,8.30139427231144e-05
88,edit_length,1.0,oracle_ipw,1.0,0.017466511754804414,256,0.792898697422753,0.7927796620133242,-0.00011903540942874227,7.748223589376139e-06
89,edit_length,1.0,oracle_ipw,10.0,0.017466511754804414,256,0.792898697422753,0.7917389396566159,-0.001159757766137038,7.73584381334441e-05
