n,alpha,method,repetitions,mse_full,mse_full_mcse,ci_low,ci_high,exact_mse_full,mse_own,bias_own_0,bias_own_1,mcse_mean_0,mcse_mean_1
16,0.5,population_clipped,10000,0.256453254279504,0.002466140042694777,0.25161961979582226,0.26128688876318573,0.26200086805555545,0.3691990504104565,0.3041112847222178,0.2970380456349125,0.0037492557096779,0.0021893707510968
16,0.75,unweighted,10000,0.48971724243164055,0.003343495093430763,0.48316399204851623,0.4962704928147649,0.4897382812500001,0.7755809143066404,0.5653210937499966,0.5568749999999967,0.0034503735994814073,0.0016385060165560513
16,0.75,oracle_ipw,10000,0.5430159921905142,0.0060876335751156386,0.5310842303832876,0.5549477539977409,0.5486653645833333,0.4778240217044032,0.0032113715277810595,-0.003131250000001362,0.006181094393643044,0.0030950348981622256
16,0.75,self_normalized,10000,0.5301260361109285,0.004791922724569806,0.5207338675707717,0.5395182046510852,,0.5278756343562161,0.10395734374996612,0.09741741096230061,0.0060165298414648185,0.0038163176316613734
16,0.75,population_clipped,10000,0.2592628746457532,0.00238938349625986,0.25457968299308387,0.26394606629842254,0.2632609879889456,0.38213642685309446,0.3043415798611071,0.2968720982142762,0.00391799552681597,0.002188443223247405
16,1,unweighted,10000,0.7842355195312499,0.004998492433193305,0.774438474362191,0.7940325647003088,0.7820625000000001,0.7842355195312499,0.5654818750000059,0.5566687499999974,0.0035398206014941648,0.0017116609639964678
16,1,oracle_ipw,10000,0.5487276391300154,0.008163493269469755,0.5327271923218547,0.5647280859381761,0.5529513888888891,0.5487276391300154,0.0035218750000001187,-0.0032506944444450625,0.006745820443216575,0.0030610228673662154
16,1,self_normalized,10000,0.5480058341913796,0.004961590301523839,0.5382811172003928,0.5577305511823664,,0.5480058341913796,0.10403278571429464,0.0971320843253935,0.006136204428280246,0.0038893586121782077
16,1,population_clipped,10000,0.3987270131851932,0.0038674736964213834,0.3911467647402073,0.4063072616301791,0.4010009212018143,0.3987270131851932,0.30457187500002547,0.2967061507936539,0.004118986409628371,0.0021974929083500034
64,0,unweighted,10000,0.31824466796875006,0.0014031928681222422,0.3154944099472305,0.32099492599026963,0.3202125,0.65804685546875,0.5613818750000019,0.5590768750000003,0.0015810315265372566,0.0007305285883610434
64,0,oracle_ipw,10000,1.1568784661940585,0.005112714478669233,1.1468575458158667,1.1668993865722503,1.1536458333333328,0.090828987027392,-0.0016697916666654766,-0.0004197916666667196,0.002506889991171619,0.0016730251591170117
64,0,self_normalized,10000,1.11919150792157,0.0060377256563080295,1.1073575656352062,1.1310254502079338,,0.11523042368709088,0.023225417604249454,0.024176161114035827,0.002897153672486061,0.001737323650643758
64,0,population_clipped,10000,0.5364194522933593,0.0025356353852441556,0.5314496069382808,0.5413892976484378,0.5366050170068026,0.22350479455526437,0.299965029761901,0.29931056547619017,0.0017696458797763007,0.0011236943448711958
64,0.25,unweighted,10000,0.2058110430297852,0.0008283146968268073,0.20418754622400465,0.20743453983556576,0.2072876953125001,0.6599019121704103,0.5614205468749958,0.5589767968749982,0.001625125381520474,0.0007646386676416606
64,0.25,oracle_ipw,10000,0.6973003660037193,0.003931661777103812,0.6895943089205958,0.7050064230868427,0.6946750217013886,0.09669494608184442,-0.0018347656249986244,-0.0005253906250000245,0.0026496217819707395,0.0016277597459108278
64,0.25,self_normalized,10000,0.6742749359555037,0.004631515321986387,0.6651971659244104,0.683352705986597,,0.12041961769971189,0.02317334916369873,0.024109087996422168,0.002962905481880758,0.0017755339435876411
64,0.25,population_clipped,10000,0.2604303651849577,0.0017145362703619921,0.2570698740950482,0.2637908562748672,0.2606723278504108,0.2248408144037081,0.2999091517857069,0.2992079241071416,0.0018149165449923609,0.0011151345221350293
64,0.5,unweighted,10000,0.22629197192382808,0.0008534656160055557,0.2246191793164572,0.22796476453119896,0.22726328125000006,0.6618453703613278,0.561459218750004,0.5588767187500012,0.0016693556341060617,0.0008001046097607696
64,0.5,oracle_ipw,10000,0.37418930973005876,0.0028078154539060442,0.3686859914404029,0.3796926280197146,0.3724500868055556,0.10640682275089221,-0.00199973958334021,-0.0006309895833339213,0.002847459632935817,0.0015916282021672694
64,0.5,self_normalized,10000,0.36233951329066433,0.003222844628450982,0.3560227378189004,0.36865628876242823,,0.1258462977335146,0.02312128072314068,0.024042014878809664,0.0030291879264238842,0.0018162148912478817
64,0.5,population_clipped,10000,0.11806892851130071,0.0009714387667867709,0.11616490852839864,0.11997294849420279,0.11846896701388879,0.2270735230053484,0.29985327380952365,0.2991052827380969,0.0018802443905848157,0.001111267185680061
64,0.75,unweighted,10000,0.3796874546508789,0.0015235082353274095,0.37670137850963714,0.38267353079212063,0.38013925781250013,0.6638772300415038,0.5614978906250045,0.5587766406250012,0.0017137117232146973,0.0008367540271403766
64,0.75,oracle_ipw,10000,0.18754529737307704,0.001837621369287714,0.18394355948927313,0.19114703525688095,0.18697102864583326,0.11996461703453537,-0.0021647135416689167,-0.0007365885416667495,0.0030898365246323284,0.001565263177110512
64,0.75,self_normalized,10000,0.1833852399270515,0.001956308234581738,0.1795508757872713,0.1872196040668317,,0.13151046378849907,0.02306921228257086,0.023974941761196245,0.0030959669247424184,0.001859204320714154
64,0.75,population_clipped,10000,0.10933514227238797,0.0007395429006629395,0.10788563818708861,0.11078464635768732,0.10999493449723646,0.23020292036018564,0.29979739583332465,0.2990026413690471,0.0019636285924087603,0.0011121412892395447
64,1,unweighted,10000,0.6659974912109373,0.002388143940486816,0.6613167290875832,0.6706782533342914,0.6659156250000001,0.6659974912109373,0.5615365625000073,0.5586765624999975,0.0017581841249276406,0.0008744381271298886
64,1,oracle_ipw,10000,0.13736832893277393,0.0017787983822849674,0.13388188410349539,0.14085477376205247,0.13823784722222227,0.13736832893277393,-0.002329687500000066,-0.0008421875000001466,0.0033671480143814304,0.0015491633966303628
64,1,self_normalized,10000,0.1374121158646652,0.001541343609009327,0.13439108239100692,0.1404331493383235,,0.1374121158646652,0.02301714384204523,0.023907868643581853,0.0031632110285403714,0.0019043459007614006
64,1,population_clipped,10000,0.23422900646821962,0.0014589030724043253,0.23136955644630713,0.2370884564901321,0.23525023030045378,0.23422900646821962,0.29974151785713365,0.2988999999999995,0.0020628807302133676,0.0011177457091144022
256,0,unweighted,10000,0.2971344749755859,0.0006929449720160638,0.29577630283043443,0.2984926471207374,0.297328125,0.635290842163086,0.5603371093749987,0.559964296875,0.0008035286389269336,0.0003601867435995145
256,0,oracle_ipw,10000,1.0860550155451267,0.0025168086673724743,1.0811220705570768,1.0909879605331767,1.0852864583333328,0.02255291051040462,-0.0003361545138839128,-0.0006595920138889479,0.0012471378886773326,0.0008367250908732296
256,0,self_normalized,10000,1.0773207055445615,0.0030935556509582933,1.0712573364686833,1.0833840746204397,,0.028080704426715248,0.005269378919611656,0.005442482085854776,0.0014475027051440693,0.0008410397885519613
256,0,population_clipped,10000,0.5034115176484636,0.0012444070151651616,0.5009724798987398,0.5058505553981874,0.5035262542517006,0.19079787987564648,0.30002452256944845,0.29967463417658646,0.0008862050800245872,0.0005590870113737363
256,0.25,unweighted,10000,0.18294196254062656,0.0003804460756240349,0.18219628823240344,0.18368763684884967,0.1829641113281251,0.6358086397867204,0.5603537792968796,0.5599793554687514,0.0008258287233288093,0.00037633709399584694
256,0.25,oracle_ipw,10000,0.6221122983346749,0.0019423435591259014,0.6183053049587881,0.6259192917105616,0.6219109429253469,0.02392937597139383,-0.00019327799478996432,-0.0006313476562501003,0.0013166985523426628,0.0008120580257007326
256,0.25,self_normalized,10000,0.617109514335327,0.00237162877948096,0.6124611219275443,0.6217579067431097,,0.029380802895169717,0.005260408915812809,0.005431800496306011,0.0014808910359639736,0.0008600102667126232
256,0.25,population_clipped,10000,0.2262869686853256,0.0008306127001328562,0.2246589677930652,0.227914969577586,0.22653526946260252,0.19116633182706702,0.30009978841145735,0.2996958147321435,0.0009071496553000684,0.0005532442031361011
256,0.5,unweighted,10000,0.20160411221694943,0.0003876599994415236,0.20084429861804404,0.20236392581585483,0.2014345703125001,0.6363481649513244,0.5603704492187482,0.5599944140624982,0.0008481968074527303,0.00039317637216036385
