budget,method,groups,coefficient_mse,coefficient_mse_se,gradient_mse,gradient_mse_se,coefficient_bias_sq,coefficient_bias_sq_se,gradient_bias_sq,gradient_bias_sq_se,expected_label_reveals,expected_label_reveals_se,full_group_probability,full_group_probability_se,gradient_mse_ratio_to_whole,ratio_bootstrap_low,ratio_bootstrap_high
0.5,partial_then_normalize,49,5.948422988284825,0.35603001681479884,0.00034301891009051966,2.6234681530139388e-05,2.391718437567962,0.2189182144914066,7.638443419188251e-05,9.178483446647438e-06,4.0,0.0,0.00390625,0.0,1.9652345705594674,1.309995115603647,3.223253482034442
0.5,proxy_completion,49,2.5810092225074586,0.35858746983302214,0.00017454349482202947,3.55414482251756e-05,2.5810092225074586,0.35858746983302214,0.00017454349482202947,3.55414482251756e-05,0.0,0.0,0.0,0.0,1.0000000000000002,0.9999999999999998,1.0000000000000002
0.5,rr_fixed,49,3.83250187292644,0.9424676337941088,0.00023592860263679726,5.671603742586969e-05,3.169592830792634e-32,5.899258543929108e-33,2.0261189368558414e-36,4.436573149259018e-37,3.9999999999999996,6.409875621278547e-17,0.21829521829521825,0.0,1.3516894621444253,0.9419793785081859,1.9544999266790746
0.5,rr_model_coefficient,49,2.2979414340245334,0.5979436468626739,0.00013248998161948514,3.395053820834503e-05,3.0534493468871925e-32,6.238938254537892e-33,1.503488048806565e-36,3.315812509091968e-37,4.0,7.551026923886592e-17,0.2447874095462801,0.014219640660208586,0.7590657088342163,0.5465662009755474,0.9961534850325071
0.5,rr_model_gradient,49,3.4218748575072855,1.1983056838669028,0.00015036373822363642,3.924889552621732e-05,5.602173705374356e-32,1.2188687682096134e-32,3.045179031429248e-36,7.766946302432395e-37,4.0,7.551026923886592e-17,0.243647929903463,0.015055771409038174,0.861468589115581,0.568893123661002,1.3120367294673962
0.5,whole_group_cv,49,2.5810092225074586,0.35858746983302214,0.00017454349482202945,3.55414482251756e-05,2.1896889981230235e-32,5.572742927152459e-33,1.3135025811520324e-36,3.5721297522699845e-37,4.0,0.0,0.5,0.0,1.0,1.0,1.0
0.75,full,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
0.75,ht_then_normalize,49,5.148116249504027,0.4596788497265273,0.0002828475075529901,3.0510740317949577e-05,2.073305946058017,0.2542276440358115,2.6119151982381167e-05,3.983548744815335e-06,6.0,0.0,0.1001129150390625,0.0,4.861496118913933,2.9848049825285616,8.502937078616386
0.75,partial_then_normalize,49,4.68431099999835,0.4068138832506897,0.00026059004750777744,2.385081484709749e-05,1.1915923136176816,0.13484066363239638,1.3552978715756217e-05,1.7657415449373822e-06,6.0,0.0,0.1001129150390625,0.0,4.478941729226014,2.7991749724477573,7.768961391833288
0.75,proxy_completion,49,2.5810092225074586,0.35858746983302214,0.00017454349482202947,3.55414482251756e-05,2.5810092225074586,0.35858746983302214,0.00017454349482202947,3.55414482251756e-05,0.0,0.0,0.0,0.0,3.0000000000000004,2.999999999999999,3.000000000000001
0.75,rr_fixed,49,1.0600716814267275,0.3413512856976868,5.9771922794234066e-05,1.731498026696403e-05,3.9750967307126404e-32,1.157595654774232e-32,2.2726880400686702e-36,8.392304966411101e-37,5.999999999999999,0.0,0.42395693135935375,1.6024689053196368e-17,1.0273414575864814,0.575529670480259,1.7176397706496762
0.75,rr_model_coefficient,49,0.8443635572912855,0.3330013708239897,3.9761952921202735e-05,1.3272726214462488e-05,4.7878050228046296e-32,1.2662926954749055e-32,2.5862081388433312e-36,7.118919362330262e-37,6.0,1.255539808314765e-16,0.44322239899428767,0.02163335778326694,0.6834162389451189,0.3476301220623089,1.1187524537084315
0.75,rr_model_gradient,49,1.3279731656569091,0.6283485277060541,4.325979720789551e-05,1.5033930419025026e-05,3.4755925041031247e-32,7.448361259030854e-33,2.187926396092338e-36,5.331070040709492e-37,6.0,1.1437045835676345e-16,0.4366376981529037,0.02297792688545482,0.7435361126234699,0.34489045247481376,1.3554071923235125
0.75,whole_group_cv,49,0.8603364075024862,0.1195291566110074,5.8181164940676484e-05,1.1847149408391865e-05,4.6859117180841763e-32,1.0450497593773372e-32,2.7905343870836766e-36,7.392827203302161e-37,6.0,0.0,0.75,0.0,1.0,1.0,1.0
