horizon,method,update,seeds,reference_success_mean,reference_success_seed_se,cheap_success_mean,mean_purchased_queries
24,partial_replacement,275,10,0.7296875,0.008148170753730215,0.934765625,955.0
24,partial_replacement,300,10,0.75078125,0.006810779599282302,0.938671875,1047.1
24,proxy,0,10,0.185546875,0.004983765419011623,0.72421875,0.0
24,proxy,25,10,0.21015625,0.007829841863735889,0.78984375,0.0
24,proxy,50,10,0.215234375,0.009958171252603589,0.833203125,0.0
24,proxy,75,10,0.228515625,0.01466506579360975,0.86171875,0.0
24,proxy,100,10,0.223046875,0.021954298851574284,0.882421875,0.0
24,proxy,125,10,0.226953125,0.0223143047287948,0.896484375,0.0
24,proxy,150,10,0.210546875,0.028153017005934873,0.91015625,0.0
24,proxy,175,10,0.21015625,0.02895079150892174,0.91875,0.0
24,proxy,200,10,0.201171875,0.024576283968980303,0.92734375,0.0
24,proxy,225,10,0.2171875,0.029721745599111997,0.9328125,0.0
24,proxy,250,10,0.205859375,0.03292005561734303,0.94296875,0.0
24,proxy,275,10,0.198046875,0.03389945888531281,0.948046875,0.0
24,proxy,300,10,0.1984375,0.029160853215279135,0.950390625,0.0
24,rr_completion,0,10,0.185546875,0.004983765419011623,0.72421875,0.0
24,rr_completion,25,10,0.296484375,0.01501014648872046,0.767578125,75.2
24,rr_completion,50,10,0.415234375,0.01969592040497113,0.7984375,154.3
24,rr_completion,75,10,0.495703125,0.01446953835295271,0.8171875,233.0
24,rr_completion,100,10,0.5578125,0.018329337869549767,0.843359375,315.0
24,rr_completion,125,10,0.62734375,0.016523637582515942,0.866015625,401.2
24,rr_completion,150,10,0.67578125,0.015625,0.8796875,488.3
24,rr_completion,175,10,0.71484375,0.012502712379331047,0.9,581.0
24,rr_completion,200,10,0.74921875,0.010048844469570174,0.919140625,677.6
24,rr_completion,225,10,0.777734375,0.009786436158392474,0.92578125,771.0
24,rr_completion,250,10,0.807421875,0.007770067056164423,0.935546875,861.3
24,rr_completion,275,10,0.81640625,0.009151710099377904,0.938671875,963.3
24,rr_completion,300,10,0.83046875,0.008834997632128841,0.94140625,1058.2
24,whole_group_residual,0,10,0.185546875,0.004983765419011623,0.72421875,0.0
24,whole_group_residual,25,10,0.284765625,0.01472506001950841,0.76484375,73.4
24,whole_group_residual,50,10,0.401171875,0.02023933470961551,0.79765625,151.0
24,whole_group_residual,75,10,0.48671875,0.015928050711846903,0.8125,233.6
24,whole_group_residual,100,10,0.54921875,0.01985154046551971,0.84609375,315.9
24,whole_group_residual,125,10,0.626171875,0.018616149119232844,0.87109375,406.4
24,whole_group_residual,150,10,0.678125,0.01757764274029813,0.888671875,497.7
24,whole_group_residual,175,10,0.715625,0.014968862357499911,0.903515625,591.2
24,whole_group_residual,200,10,0.749609375,0.01113186064400599,0.91796875,684.4
24,whole_group_residual,225,10,0.774609375,0.009390359235470203,0.9234375,775.1
24,whole_group_residual,250,10,0.7953125,0.009712529270297664,0.934375,867.3
24,whole_group_residual,275,10,0.816796875,0.011739709266183463,0.93984375,968.0
24,whole_group_residual,300,10,0.832421875,0.010488844986013712,0.9453125,1062.2
48,full,0,10,0.049609375,0.0029144569382290875,0.7484375,0.0
48,full,25,10,0.07421875,0.004239276196900965,0.755859375,147.9
48,full,50,10,0.106640625,0.004201110886693146,0.7640625,298.4
48,full,75,10,0.14765625,0.005069771441128069,0.770703125,450.4
48,full,100,10,0.197265625,0.005151052199180334,0.78046875,604.3
48,full,125,10,0.241796875,0.007646899406263553,0.79765625,759.6
48,full,150,10,0.298046875,0.007458335151885253,0.814453125,918.2
48,full,175,10,0.353515625,0.007796206968709741,0.827734375,1075.6
48,full,200,10,0.40390625,0.007838498407964798,0.846875,1240.6
48,full,225,10,0.4484375,0.006685155027600748,0.8640625,1409.7
48,full,250,10,0.49296875,0.00615707834246713,0.880859375,1583.5
48,full,275,10,0.54375,0.008434445177448773,0.8921875,1760.1
48,full,300,10,0.5796875,0.009607222263383706,0.891015625,1935.3
48,naive_reward_ht,0,10,0.049609375,0.0029144569382290875,0.7484375,0.0
48,naive_reward_ht,25,10,0.059375,0.00358013726168425,0.74921875,74.0
48,naive_reward_ht,50,10,0.07734375,0.006659745756533553,0.75,150.6
48,naive_reward_ht,75,10,0.09609375,0.0073241464116798076,0.760546875,226.8
48,naive_reward_ht,100,10,0.11328125,0.006588078458684123,0.766015625,303.2
48,naive_reward_ht,125,10,0.132421875,0.007778790120439504,0.77421875,380.6
48,naive_reward_ht,150,10,0.158984375,0.009096895038910712,0.78984375,454.7
48,naive_reward_ht,175,10,0.180859375,0.01003618264194955,0.79296875,530.1
48,naive_reward_ht,200,10,0.209375,0.007136557086481625,0.787890625,608.5
48,naive_reward_ht,225,10,0.2390625,0.009073568432387678,0.80390625,690.5
48,naive_reward_ht,250,10,0.262890625,0.010785306453061883,0.80234375,767.4
48,naive_reward_ht,275,10,0.2921875,0.012197956696489968,0.802734375,850.8
48,naive_reward_ht,300,10,0.322265625,0.012397173640774492,0.800390625,930.0
