horizon,method,seed,shared_query_ceiling,update,actual_queries,actual_training_trajectories,reference_success,comparison,zero_query_proxy
24,whole_group_residual,2,1058.2,275,1056,2200,0.85546875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,whole_group_residual,3,1058.2,300,995,2400,0.80859375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,whole_group_residual,4,1058.2,300,982,2400,0.8515625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,whole_group_residual,5,1058.2,250,975,2000,0.7890625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,whole_group_residual,6,1058.2,275,969,2200,0.76953125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,whole_group_residual,7,1058.2,300,1032,2400,0.8359375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,whole_group_residual,8,1058.2,300,946,2400,0.77734375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,whole_group_residual,9,1058.2,275,1002,2200,0.828125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,rr_completion,0,1058.2,275,994,2200,0.82421875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,rr_completion,1,1058.2,300,1022,2400,0.87109375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,rr_completion,2,1058.2,275,1021,2200,0.84765625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,rr_completion,3,1058.2,300,997,2400,0.8203125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,rr_completion,4,1058.2,300,1008,2400,0.8515625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,rr_completion,5,1058.2,275,1027,2200,0.8046875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,rr_completion,6,1058.2,275,1015,2200,0.7890625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,rr_completion,7,1058.2,300,1051,2400,0.81640625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,rr_completion,8,1058.2,300,976,2400,0.7890625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,rr_completion,9,1058.2,300,1049,2400,0.83203125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,naive_reward_ht,0,1058.2,300,1057,2400,0.71484375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,naive_reward_ht,1,1058.2,300,970,2400,0.70703125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,naive_reward_ht,2,1058.2,300,1019,2400,0.74609375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,naive_reward_ht,3,1058.2,300,989,2400,0.68359375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
