org_code,year,release_vintage,historical_value,value_in_2025_release,difference
RGM,2023,2023,5.051741006411141,5.056055206319481,-0.004314199908340477
RGN,2021,2023,4.601143200225667,4.591147729853075,0.00999547037259152
RGN,2022,2023,4.50908125869424,4.497712936090203,0.01136832260403775
RGN,2023,2023,4.733193433453836,4.723569206054018,0.009624227399818608
RGP,2021,2023,4.850937103155973,4.841402255237735,0.009534847918237332
RGP,2022,2023,4.609078737392818,4.599756989974562,0.009321747418256088
RGP,2023,2023,4.794381128325491,4.784817672369574,0.009563455955917455
RGR,2021,2023,4.811837165865244,4.799286216343162,0.012550949522081467
RGR,2022,2023,4.828532737432513,4.815883200634611,0.012649536797902705
RGR,2023,2023,5.075576544759662,5.064995589859896,0.010580954899766404
RGT,2021,2023,4.789857006495897,4.777812867280604,0.012044139215293015
RGT,2022,2023,4.714020374030556,4.701248027285095,0.012772346745461682
RGT,2023,2023,4.895741399500053,4.883766552990063,0.01197484650998959
RHA,2021,2023,5.092535703055004,5.076341477014243,0.016194226040760817
RHA,2022,2023,5.099771062987617,5.085280629262475,0.01449043372514236
RHA,2023,2023,5.121058079477253,5.110917231362511,0.010140848114741807
RHM,2021,2023,4.986578001966788,4.976468394050953,0.010109607915834928
RHM,2022,2023,4.985671786791452,4.974836942232954,0.010834844558498702
RHM,2023,2023,5.127370956647176,5.118156129320304,0.009214827326871955
RHQ,2021,2023,4.793567970140073,4.782273118677486,0.011294851462587019
RHQ,2022,2023,4.783256874718752,4.773075015667269,0.0101818590514835
RHQ,2023,2023,4.889180268938996,4.881694533157233,0.007485735781763481
RHU,2021,2023,4.815161023235165,4.806509465091321,0.008651558143843552
RHU,2022,2023,4.682512823275994,4.671117728526774,0.011395094749220291
RHU,2023,2023,4.954402178473863,4.946399391495998,0.008002786977865384
RHW,2021,2023,5.047274059666587,5.037632757894656,0.009641301771931232
RHW,2022,2023,5.075843208318458,5.063048902299584,0.012794306018874657
RHW,2023,2023,5.219493349416752,5.211150455121758,0.008342894294994352
RJ1,2021,2023,4.914809350695994,4.903581219035148,0.011228131660845797
RJ1,2022,2023,4.837981848398115,4.827673064744009,0.010308783654106257
RJ1,2023,2023,4.862894450751266,4.85274859169586,0.010145859055405992
RJ2,2021,2023,4.766450445191476,4.757477746355919,0.008972698835557402
RJ2,2022,2023,4.879014005317544,4.870461020288763,0.008552985028781102
RJ2,2023,2023,4.981985019210205,4.975956953785263,0.006028065424941609
RJ6,2021,2023,4.796793421993896,4.792155070787834,0.004638351206061486
RJ6,2022,2023,4.912810898137416,4.907961057808782,0.004849840328634336
RJ6,2023,2023,5.008963119643391,5.004736540549434,0.00422657909395685
RJ7,2021,2023,4.714639422924471,4.703634630035145,0.011004792889325543
RJ7,2022,2023,4.776065290071762,4.765964261834013,0.01010102823774961
RJ7,2023,2023,4.884167264044439,4.876565380047661,0.0076018839967781915
RJ8,2021,2023,4.821092437081851,4.807896321206806,0.013196115875044434
RJ8,2022,2023,4.901484381753764,4.880303244110661,0.021181137643102588
RJ8,2023,2023,5.095949917412666,5.08083108675839,0.015118830654276216
RJC,2021,2023,4.981018030666342,4.970014110980732,0.011003919685609986
RJC,2022,2023,5.043046303000206,5.034211884159803,0.008834418840402591
RJC,2023,2023,5.150229553536509,5.141297796994423,0.008931756542085445
RJE,2021,2023,4.641412895479326,4.628860704050523,0.012552191428802928
RJE,2022,2023,4.577811611071141,4.563336971552605,0.014474639518535781
RJE,2023,2023,4.957987733091135,4.94417689332901,0.013810839762125049
RJL,2021,2023,4.675962409357321,4.666954172171362,0.009008237185958556
RJL,2022,2023,4.690612208655654,4.68112269043815,0.009489518217503878
RJL,2023,2023,4.974448533793621,4.96320560833311,0.0112429254605102
RJN,2021,2023,4.947104616532544,4.933244169437406,0.013860447095138007
RJN,2022,2023,4.890720325619258,4.876855578510404,0.01386474710885377
RJN,2023,2023,5.014351010845563,5.004354796145481,0.009996214700081829
RJR,2021,2023,4.489966788496808,4.478896087180066,0.011070701316742593
RJR,2022,2023,4.638911962676648,4.627329563530619,0.011582399146028877
RJR,2023,2023,4.72029513763277,4.710503625551072,0.009791512081697817
RJZ,2021,2023,4.707617078636925,4.69665603504794,0.010961043588985753
RJZ,2022,2023,4.59224501720763,4.581308860504865,0.010936156702765487
RJZ,2023,2023,4.65266721501709,4.643573249830462,0.009093965186627528
RK5,2021,2023,5.018347874135028,5.010355540133228,0.007992334001800216
RK5,2022,2023,4.977111061670272,4.969034113730153,0.008076947940119261
RK5,2023,2023,5.228434454314394,5.222162288471313,0.006272165843081545
RK9,2021,2023,4.609004620443678,4.595804956358835,0.013199664084843299
RK9,2022,2023,4.599843595335436,4.586870529990546,0.012973065344890067
RK9,2023,2023,4.93768222255877,4.927082674707688,0.010599547851081859
RKB,2021,2023,4.662001389309413,4.656038214352809,0.005963174956604256
RKB,2022,2023,4.736542773100568,4.728451196760284,0.008091576340283346
RKB,2023,2023,4.850157689294933,4.843356253107672,0.0068014361872617
RKE,2021,2023,4.821741717653791,4.815180090101844,0.006561627551946891
RKE,2022,2023,4.792886726208255,4.784687426257709,0.00819929995054558
RKE,2023,2023,4.931079047229178,4.925288676916416,0.005790370312761972
