org_code,org_name,benchmark_group,raw_selected,selected_somewhere_0_3000,selected_everywhere_0_3000,boundary_ties
RN3,Great Western Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RN5,Hampshire Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RN7,Dartford and Gravesham NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RNA,The Dudley Group NHS Foundation Trust,Acute&Acute Community Trusts,1,1,1,stable organisation-code order
RNK,Tavistock and Portman NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RNN,North Cumbria Integrated Care NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RNQ,Kettering General Hospital NHS Foundation Trust,Acute&Acute Community Trusts,1,1,0,stable organisation-code order
RNS,Northampton General Hospital NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RNU,Oxford Health NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RNZ,Salisbury NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RP1,Northamptonshire Healthcare NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RP4,Great Ormond Street Hospital for Children NHS Foundation Trust,Acute Specialist Trusts,1,1,1,stable organisation-code order
RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RP6,Moorfields Eye Hospital NHS Foundation Trust,Acute Specialist Trusts,0,0,0,stable organisation-code order
RP7,Lincolnshire Partnership NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RPA,Medway NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RPC,Queen Victoria Hospital NHS Foundation Trust,Acute Specialist Trusts,0,0,0,stable organisation-code order
RPG,Oxleas NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RPY,The Royal Marsden NHS Foundation Trust,Acute Specialist Trusts,0,0,0,stable organisation-code order
RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RQW,The Princess Alexandra Hospital NHS Trust,Acute&Acute Community Trusts,1,1,1,stable organisation-code order
RQX,Homerton Healthcare NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RQY,South West London and St George's Mental Health NHS Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RR7,Gateshead Health NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RR8,Leeds Teaching Hospitals NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RRE,Midlands Partnership University NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RRF,"Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust",Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,Acute Specialist Trusts,0,0,0,stable organisation-code order
RRK,University Hospitals Birmingham NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RRU,London Ambulance Service NHS Trust,Ambulance Trusts,0,0,0,stable organisation-code order
RRV,University College London Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RT1,Cambridgeshire and Peterborough NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RT2,Pennine Care NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,1,1,stable organisation-code order
