org_code,org_name,benchmark_group,is_trust,available_years,complete_five_year_history,official_2025_no_history,comparability_reason
RDE,East Suffolk and North Essex NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RDR,Sussex Community NHS Foundation Trust,Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RDU,Frimley Health NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RDY,Dorset Healthcare University NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
REF,Royal Cornwall Hospitals NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
REM,Liverpool University Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
REN,The Clatterbridge Cancer Centre NHS Foundation Trust,Acute Specialist Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
REP,Liverpool Women's NHS Foundation Trust,Acute Specialist Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RET,The Walton Centre NHS Foundation Trust,Acute Specialist Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RFF,Barnsley Hospital NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RFR,The Rotherham NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RFS,Chesterfield Royal Hospital NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RGD,Leeds and York Partnership NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RGM,Royal Papworth Hospital NHS Foundation Trust,Acute Specialist Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RGN,North West Anglia NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RGP,James Paget University Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
