year,state,state_name,n_complete,employed_all,n_mental_missing,finite_file_unweighted_mean,finite_file_variance,finite_file_standard_deviation,finite_file_weighted_ratio,sum_survey_weight,mean_survey_weight,kish_weight_concentration_n,minimum_survey_weight,maximum_survey_weight,observed_strata,observed_psus
2024,22,Louisiana,2081,2117,36,8.305942655774468,8.57285218550976,2.9279433371412362,8.15550957990185,1773645.531069,852.3044358813071,1429.6434639091717,110.101656,6889.28251,26,2081
2024,23,Maine,5587,5655,68,8.594057633792733,6.694348078296389,2.5873438268418036,8.418535903280018,635517.75074578,113.74937367921603,3339.8213277938216,4.47896445,1024.82134,63,5587
2024,24,Maryland,7179,7259,80,8.630635650276268,6.461006946090342,2.5418510865293316,8.525704834233629,2880759.0506258,401.2758114815156,3904.447572096176,10.0651846,3520.92366,17,7179
2024,25,Massachusetts,5117,5188,71,8.63780861181682,6.203909574731386,2.490764857374414,8.585653742896978,3238030.2333316,632.7985603540357,3277.5934600955266,42.8240441,7216.46855,37,5117
2024,26,Michigan,4757,4814,57,8.52932520496111,6.982235120294568,2.6423919316207747,8.34080205961211,4123920.68125744,866.9162668188858,2627.6657005110164,7.67769082,7391.95127,53,4757
2024,27,Minnesota,8184,8274,90,8.632127728901922,6.269036235233063,2.5038043524271347,8.49769344541999,2693090.70662091,329.067779401382,5564.702084101831,7.25100701,2849.08368,20,8184
2024,28,Mississippi,1618,1640,22,8.698599093531108,6.48538328674001,2.546641570135069,8.673035329148124,1244327.935796,769.0531123584673,987.6627439067579,103.39012,5690.62907,27,1618
2024,29,Missouri,3745,3816,71,8.384601691143747,8.219297085824168,2.8669316500091466,8.254406939916862,2841743.767521,758.8100847853137,2134.5589048016886,27.167005,6955.65475,44,3745
2024,30,Montana,3212,3248,36,8.572748028227481,7.068424342626179,2.6586508500790735,8.346851358581285,539339.31958401,167.91386039352741,2201.931850836937,6.41682464,783.704626,23,3212
2024,31,Nebraska,6619,6680,61,8.814423125346226,5.966014464264534,2.442542622814295,8.621145751517249,932009.64107951,140.80822497046532,3549.4908613332173,8.34082017,1203.75762,84,6619
2024,32,Nevada,1232,1257,25,8.271645021645021,8.556800612807107,2.9252009525513127,8.248930114977135,1382693.8552069,1122.3164409146916,511.6503431330707,34.8693107,10054.8632,12,1232
2024,33,New Hampshire,2678,2703,25,8.757779437391088,6.277483875009922,2.5054907453450954,8.480327288728558,683445.36305729,255.2073797824085,1453.4741637111308,7.40889479,1840.41018,44,2678
2024,34,New Jersey,4671,4739,68,8.648255191607793,6.568751623927886,2.562957593080285,8.622958112053595,4119762.3925207,881.9872388183901,2534.7312056890773,25.2283045,8671.4217,25,4671
2024,35,New Mexico,1516,1534,18,8.344547053649956,8.507130189152122,2.916698508442743,8.222772906317472,887903.11133735,585.6880681644789,710.7354702380237,2.55972061,5919.63574,22,1516
2024,36,New York,22708,23007,299,8.551993423756679,7.113609094588111,2.667134997443532,8.584752799760881,8462428.1269541,372.66285568760344,9729.325232216317,3.90821758,6680.02995,221,22708
2024,37,North Carolina,2302,2331,29,8.525340283811179,7.45584498267203,2.730539320843417,8.474979293157938,4864103.4534363,2112.990205663032,1685.4217178278438,85.8212143,10359.152,15,2302
2024,38,North Dakota,3034,3059,25,8.852889474840694,5.540103164888122,2.3537423743664307,8.614374217774369,381848.47309534,125.85645125093606,2105.110239448694,6.34000337,909.320598,4,3034
