seed,phase,epoch,loss
1703,continuation,7,0.010614861907889591
1703,continuation,8,0.009477376586998383
1703,continuation,9,0.008557689714142301
1703,continuation,10,0.00796136293784387
1703,continuation,11,0.007279354026528657
1703,continuation,12,0.006732179011813563
1703,continuation,13,0.00614698067636607
1703,continuation,14,0.005882448022455863
1703,continuation,15,0.005478004325225119
1703,continuation,16,0.005195138364858049
1703,continuation,17,0.0050626850027854975
1703,continuation,18,0.004655467332432362
1703,continuation,19,0.004453657482731577
1703,continuation,20,0.004270007796769789
1703,continuation,21,0.0040985866908817324
1703,continuation,22,0.003931614552150272
1703,continuation,23,0.003798461596461608
1703,continuation,24,0.0036797357194263197
1704,incumbent,1,1.8136201887641739
1704,incumbent,2,0.947214869665635
1704,incumbent,3,0.492460103268007
1704,incumbent,4,0.29710424772741734
1704,incumbent,5,0.20911429679130808
1704,incumbent,6,0.1548734613708898
1704,incumbent,7,0.12400852222840007
1704,incumbent,8,0.1108568201173788
1704,incumbent,9,0.09707854688669235
1704,incumbent,10,0.09129573103876905
1704,incumbent,11,0.08385915329168446
1704,incumbent,12,0.06359704795499505
1704,continuation,1,0.027219787065687593
1704,continuation,2,0.02133297702851625
1704,continuation,3,0.01851813275343035
1704,continuation,4,0.014961120497346183
1704,continuation,5,0.014332338991049607
1704,continuation,6,0.012456307480643828
1704,continuation,7,0.010742560590217137
1704,continuation,8,0.010272970141787949
1704,continuation,9,0.008965878556632535
1704,continuation,10,0.008425221476436782
1704,continuation,11,0.007591449022601623
1704,continuation,12,0.007084889452075206
1704,continuation,13,0.00665659895610217
1704,continuation,14,0.0062600101243179196
1704,continuation,15,0.005891571104871275
1704,continuation,16,0.005593895461941294
1704,continuation,17,0.005330482443585564
1704,continuation,18,0.005101709000746584
1704,continuation,19,0.0048910145500042496
1704,continuation,20,0.00469293829533901
1704,continuation,21,0.004512233180438453
1704,continuation,22,0.004345081139282835
1704,continuation,23,0.004195813304725038
1704,continuation,24,0.0040589672966121594
1705,incumbent,1,1.7978182697148786
1705,incumbent,2,0.9660798731749026
1705,incumbent,3,0.466783142346911
1705,incumbent,4,0.362699926112556
1705,incumbent,5,0.2287381890083311
1705,incumbent,6,0.2331668372184836
1705,incumbent,7,0.1490590760555798
1705,incumbent,8,0.1373875083830722
1705,incumbent,9,0.10483026455958647
1705,incumbent,10,0.09464077131415762
1705,incumbent,11,0.11068152173938167
1705,incumbent,12,0.08590102677430879
1705,continuation,1,0.03735641130812843
1705,continuation,2,0.02736658864468143
1705,continuation,3,0.024048337714181224
1705,continuation,4,0.021788803991794174
1705,continuation,5,0.021400469761389516
1705,continuation,6,0.01906141554624867
1705,continuation,7,0.016195798004042125
1705,continuation,8,0.016808813056358205
1705,continuation,9,0.013331889629436457
1705,continuation,10,0.012766838542110682
1705,continuation,11,0.011691171935771662
1705,continuation,12,0.010370640847539707
1705,continuation,13,0.009757955340536695
1705,continuation,14,0.008778687616335892
1705,continuation,15,0.008004011489960714
1705,continuation,16,0.007999635079951117
1705,continuation,17,0.007297460486106723
1705,continuation,18,0.006974181834581077
1705,continuation,19,0.006905534448614599
1705,continuation,20,0.006371379418059924
1705,continuation,21,0.006168085712308688
1705,continuation,22,0.005933314824271162
1705,continuation,23,0.005735717478110904
1705,continuation,24,0.005521372627869213
