scenario,state,mu,tau,bias_mean,bias_sd,ordinary_variance,validation_variance
unweighted_tilt_05,12,8.556928566324567,0.13881606594281007,-0.6873795578795612,1.5628598001489156,10.073802685744873,8.11878594945901
unweighted_tilt_05,13,8.556928566324567,0.13881606594281007,-0.711507010024178,1.5076088522601125,9.4879414847365,7.083630360227119
unweighted_tilt_05,15,8.556928566324567,0.13881606594281007,-0.7265856362133549,1.5094496146321008,9.528391349275967,6.997678868398481
unweighted_tilt_05,16,8.556928566324567,0.13881606594281007,-0.6897604194811349,1.524774399290961,9.644868018318963,7.52205820463297
unweighted_tilt_05,17,8.556928566324567,0.13881606594281007,-0.6857181348831136,1.4847319647198503,9.204303585367011,6.942231764120507
unweighted_tilt_05,18,8.556928566324567,0.13881606594281007,-0.695271898818774,1.5063058991356542,9.447556424689903,7.201884131103412
unweighted_tilt_05,19,8.556928566324567,0.13881606594281007,-0.6819891619556993,1.5130207766749484,9.50744557396489,7.395264091489338
unweighted_tilt_05,20,8.556928566324567,0.13881606594281007,-0.7227606847307975,1.5147866842991746,9.579108847299295,7.1159090415856525
unweighted_tilt_05,22,8.556928566324567,0.13881606594281007,-0.6631346107379157,1.5669270382769112,10.09137171537968,8.33522443258525
unweighted_tilt_05,23,8.556928566324567,0.13881606594281007,-0.7001581534826844,1.509669095300028,9.492451948065824,7.21604759480195
unweighted_tilt_05,24,8.556928566324567,0.13881606594281007,-0.7185144318702341,1.4671775374774305,9.057062867342193,6.426272431673979
unweighted_tilt_05,25,8.556928566324567,0.13881606594281007,-0.6727109970833585,1.451104117733303,8.817311871129618,6.56445906904662
unweighted_tilt_05,26,8.556928566324567,0.13881606594281007,-0.6653839523424101,1.5081664329548183,9.424169454890198,7.454823065601275
unweighted_tilt_05,27,8.556928566324567,0.13881606594281007,-0.7090830595213644,1.4360870999679323,8.703171738238943,6.075030439049215
unweighted_tilt_05,28,8.556928566324567,0.13881606594281007,-0.6934410160088649,1.5420886763268853,9.851095246247215,7.740407597659029
unweighted_tilt_05,29,8.556928566324567,0.13881606594281007,-0.6728105837557661,1.5583299224597718,10.003340427706966,8.149778242295113
unweighted_tilt_05,30,8.556928566324567,0.13881606594281007,-0.6796521184816755,1.5010726231733522,9.370353211265986,7.240121216166884
unweighted_tilt_05,31,8.556928566324567,0.13881606594281007,-0.7614449791694047,1.4553395558687012,8.964891009686554,5.941771379933272
unweighted_tilt_05,32,8.556928566324567,0.13881606594281007,-0.6343121522836115,1.5596110528810194,9.961848802823202,8.4308721042772
unweighted_tilt_05,33,8.556928566324567,0.13881606594281007,-0.7585180026268121,1.477027142917298,9.196645300464635,6.278964619650935
unweighted_tilt_05,34,8.556928566324567,0.13881606594281007,-0.7257446186593546,1.457474538762619,8.947092178576877,6.263033817172314
unweighted_tilt_05,35,8.556928566324567,0.13881606594281007,-0.7221925850401574,1.4865984339255318,9.275460540779271,6.680605005718917
unweighted_tilt_05,36,8.556928566324567,0.13881606594281007,-0.6885721112729906,1.4491107083921841,8.818422891825865,6.414111538688218
unweighted_tilt_05,37,8.556928566324567,0.13881606594281007,-0.6791664090070171,1.5023313128900888,9.386317361234816,7.254960441309564
unweighted_tilt_05,38,8.556928566324567,0.13881606594281007,-0.7774454862338636,1.4359905972753118,8.769437333834617,5.521133894563704
unweighted_tilt_05,39,8.556928566324567,0.13881606594281007,-0.6723896568672632,1.4836055387326428,9.172005099770587,7.028820791020252
unweighted_tilt_05,40,8.556928566324567,0.13881606594281007,-0.7006619220300854,1.5314127197279275,9.740734116886898,7.524834259579478
unweighted_tilt_05,41,8.556928566324567,0.13881606594281007,-0.6258060631096631,1.4953913056588393,9.231794079786074,7.527030730189679
unweighted_tilt_05,44,8.556928566324567,0.13881606594281007,-0.7353255781172856,1.4615469119601632,9.009800765685135,6.226844553551885
unweighted_tilt_05,45,8.556928566324567,0.13881606594281007,-0.7354726673118437,1.5039706687780603,9.474309849632473,6.860338757412052
unweighted_tilt_05,46,8.556928566324567,0.13881606594281007,-0.7317685018720987,1.4772457956345826,9.170191952349615,6.508410931540112
unweighted_tilt_05,48,8.556928566324567,0.13881606594281007,-0.6779760876555354,1.4940853398376017,9.289811407414064,7.153034940612713
unweighted_tilt_05,49,8.556928566324567,0.13881606594281007,-0.6642478885720795,1.495512663151917,9.285942440229956,7.270210785214289
unweighted_tilt_05,50,8.556928566324567,0.13881606594281007,-0.7165451655699924,1.4581999004735886,8.949393691210702,6.328850284984853
unweighted_tilt_05,51,8.556928566324567,0.13881606594281007,-0.7123553263722995,1.4859200823889394,9.257386907686278,6.733616387809121
unweighted_tilt_05,53,8.556928566324567,0.13881606594281007,-0.648768711606797,1.441368553765292,8.680751308586999,6.6035220836434405
unweighted_tilt_05,54,8.556928566324567,0.13881606594281007,-0.6135607529306819,1.6369953656255456,10.817716094323568,9.805194538428907
unweighted_tilt_05,55,8.556928566324567,0.13881606594281007,-0.7167362823265533,1.4972566602603168,9.375875525765657,6.904369494329558
unweighted_tilt_05,56,8.556928566324567,0.13881606594281007,-0.7544258399712849,1.4908913950180498,9.356546477058277,6.489012813065443
weighted_tilt_05,01,8.413415760516763,0.14435558297446813,-0.6670141046985245,1.507899340324756,9.436905135738744,7.401923695172684
weighted_tilt_05,02,8.413415760516763,0.14435558297446813,-0.6785946407044019,1.5160764447285633,9.5344651591693,7.465576864518866
weighted_tilt_05,04,8.413415760516763,0.14435558297446813,-0.6718264924340938,1.52366774220883,9.615303828913103,7.61803636624434
weighted_tilt_05,05,8.413415760516763,0.14435558297446813,-0.606395952679263,1.5887648745419125,10.246289278593249,9.080992723741645
weighted_tilt_05,06,8.413415760516763,0.14435558297446813,-0.6931642638423972,1.486167428483049,9.224842342795004,6.917832973638099
weighted_tilt_05,08,8.413415760516763,0.14435558297446813,-0.6266848310461683,1.492511165977778,9.199197732416248,7.485561038547928
weighted_tilt_05,09,8.413415760516763,0.14435558297446813,-0.6803049176020171,1.5016210568165373,9.375880498441717,7.241840344808509
weighted_tilt_05,10,8.413415760516763,0.14435558297446813,-0.676103566125386,1.538722171637895,9.79040621448766,7.815898442893669
weighted_tilt_05,11,8.413415760516763,0.14435558297446813,-0.6294483712994277,1.3393577565791057,7.626594453879864,5.30376660513771
weighted_tilt_05,12,8.413415760516763,0.14435558297446813,-0.6790440802501423,1.5782205721707787,10.235213968672397,8.425356843354592
