scenario,weighted,kappa,validation_kappa,audit_cost,budget,units,k,policy,reps,regret_mean,regret_mcse,regret_lo,regret_hi,overlap_mean,overlap_mcse,overlap_lo,overlap_hi,mse_mean,mse_mcse,mse_lo,mse_hi,coverage_mean,coverage_mcse,coverage_lo,coverage_hi,spent_mean,spent_mcse,spent_lo,spent_hi,validation_fraction_mean,validation_fraction_mcse,validation_fraction_lo,validation_fraction_hi,regular_packets_mean,regular_packets_mcse,regular_packets_lo,regular_packets_hi,validation_packets_mean,validation_packets_mcse,validation_packets_lo,validation_packets_hi,posterior_sd_mean,posterior_sd_mcse,posterior_sd_lo,posterior_sd_hi,regret_diff_uniform_mean,regret_diff_uniform_mcse,regret_diff_uniform_lo,regret_diff_uniform_hi,overlap_diff_uniform_mean,overlap_diff_uniform_mcse,overlap_diff_uniform_lo,overlap_diff_uniform_hi,regret_diff_ordinary_kg_mean,regret_diff_ordinary_kg_mcse,regret_diff_ordinary_kg_lo,regret_diff_ordinary_kg_hi,overlap_diff_ordinary_kg_mean,overlap_diff_ordinary_kg_mcse,overlap_diff_ordinary_kg_lo,overlap_diff_ordinary_kg_hi
unweighted_uniform,False,0.0,0.0,10,48,48,9,balanced_mix,1000,0.17686175354290307,0.0013941647773184015,0.174129190579359,0.17959431650644714,0.3016666666666667,0.004171011341055327,0.2934914844381983,0.3098418488951351,0.020239944714790604,4.763287775536762e-05,0.020146584274390086,0.020333305155191123,0.9196875,0.0008206129480282301,0.9180790986218647,0.9212959013781353,48.0,0.0,48.0,48.0,0.43020833333333336,0.005366103904396508,0.4196907696807162,0.4407258969859505,27.35,0.2575729874110324,26.84515694467438,27.854843055325624,2.065,0.02575729874110324,2.0145156944674376,2.1154843055325623,0.13306572534155137,1.5818148048016087e-05,0.13303472177137726,0.13309672891172547,0.007788958309546668,0.0012861184376581716,0.005268166171736652,0.010309750447356684,-0.017,0.0038470604294736648,-0.024540238441768385,-0.009459761558231618,0.029235592160495982,0.0013673224548430354,0.026555640149003634,0.03191554417198833,-0.06222222222222222,0.004168973891291385,-0.07039341104915334,-0.054051033395291104
unweighted_uniform,False,0.0,0.0,10,48,48,9,validation_only,1000,0.18608826411861396,0.0013968998989134908,0.18335034031674352,0.1888261879204844,0.2787777777777778,0.0041325302420264255,0.270678018503406,0.2868775370521496,0.0208177767956144,4.0390106684333274e-05,0.020738612186513107,0.020896941404715694,0.9170208333333333,0.0008009838755673667,0.9154509049372213,0.9185907617294453,40.0,0.0,40.0,40.0,0.8333333333333335,3.512590202971636e-18,0.8333333333333335,0.8333333333333335,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.13483039681697906,4.398793216838146e-07,0.13482953465350855,0.13483125898044956,0.01701546888525752,0.0013490333524148696,0.014371363514524374,0.019659574255990662,-0.03988888888888889,0.004008356118238807,-0.047745266880636954,-0.03203251089714083,0.03846210273620683,0.0014004665755589629,0.035717188248111265,0.041207017224302395,-0.08511111111111111,0.004196810474208721,-0.09333685964056021,-0.07688536258166201
unweighted_uniform,False,0.0,0.0,10,48,48,9,two_channel_kg,1000,0.1476261613824071,0.0013323784678161332,0.1450146995854875,0.15023762317932673,0.36388888888888893,0.00426128979177137,0.355536760897017,0.37224101688076083,0.019769942475020136,5.2252713385644076e-05,0.019667527156784274,0.019872357793256,0.9180833333333334,0.0007957228421430259,0.916523716562733,0.9196429501039337,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.13199567259663764,2.7542342449121206e-06,0.1319902742975176,0.13200107089575766,-0.02144663385094931,0.001313088626858454,-0.02402028755959188,-0.01887298014230674,0.045222222222222226,0.004071420557280116,0.037242237929953195,0.05320220651449126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unweighted_uniform,False,0.0,0.0,10,144,48,9,uniform,1000,0.13972339509497755,0.0012998324304245446,0.13717572353134544,0.14227106665860967,0.3867777777777778,0.0042790360661986325,0.37839086708802844,0.3951646884675271,0.017900270010863934,6.219887296326571e-05,0.017778360219855932,0.018022179801871936,0.9253958333333333,0.0009050701913978344,0.9236218957581935,0.9271697709084731,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,0.125855582940867,2.3959386390081585e-06,0.12585088690113452,0.12586027898059945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027287619355800846,0.0012631877260107312,0.024811771412819813,0.02976346729878188,-0.07066666666666667,0.004367456882201529,-0.07922688215578166,-0.062106451177551675
unweighted_uniform,False,0.0,0.0,10,144,48,9,uniform_blind,1000,0.13972339509497755,0.0012998324304245446,0.13717572353134544,0.14227106665860967,0.3867777777777778,0.0042790360661986325,0.37839086708802844,0.3951646884675271,0.017900270010863927,6.219887296326571e-05,0.017778360219855925,0.01802217980187193,0.9253958333333333,0.0009050701913978344,0.9236218957581935,0.9271697709084731,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,0.125855582940867,2.3959386390081585e-06,0.12585088690113452,0.12586027898059945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027287619355800846,0.0012631877260107312,0.024811771412819813,0.02976346729878188,-0.07066666666666667,0.004367456882201529,-0.07922688215578166,-0.062106451177551675
unweighted_uniform,False,0.0,0.0,10,144,48,9,uncertainty,1000,0.13431859578937075,0.001329052695655557,0.13171365250588585,0.13692353907285565,0.40677777777777774,0.004388028943373599,0.3981772410487655,0.41537831450678997,0.017800604916058043,6.236739371275148e-05,0.01767836482438105,0.017922845007735035,0.9253541666666666,0.0008953385159488421,0.9235993031754068,0.9271090301579263,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,0.12567136304619234,0.0,0.12567136304619234,0.12567136304619234,-0.005404799305606773,0.0012190038223413497,-0.007794046797395818,-0.003015551813817727,0.020000000000000004,0.003907632349419857,0.012341040595137083,0.027658959404862925,0.021882820050194072,0.0012358753572425897,0.019460504349998596,0.024305135750389548,-0.05066666666666667,0.004253581685437056,-0.059003686770123305,-0.04232964656321004
unweighted_uniform,False,0.0,0.0,10,144,48,9,boundary,1000,0.10424151155330068,0.0011780762733902864,0.10193248205745571,0.10655054104914564,0.4855555555555555,0.004272476626695746,0.47718150136723186,0.49392960974387917,0.017752699518797196,6.377677107188929e-05,0.017627697047496293,0.0178777019900981,0.9245,0.0008937632245681625,0.9227482240798464,0.9262517759201536,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,0.126739469235305,8.991745700417338e-06,0.1267218454137322,0.1267570930568778,-0.03548188354167685,0.0012308427808653364,-0.037894335392172906,-0.03306943169118079,0.0987777777777778,0.004169387388886527,0.0906057784955602,0.1069497770599954,-0.008194264185876007,0.0007052440193692895,-0.009576542463839814,-0.0068119859079122,0.028111111111111114,0.0024632671330814967,0.02328310753027138,0.03293911469195085
unweighted_uniform,False,0.0,0.0,10,144,48,9,bias_blind_kg,1000,0.11243577573917668,0.0012276658667602018,0.11002955064032668,0.11484200083802668,0.45744444444444443,0.00444014779520992,0.448741754765833,0.46614713412305586,0.018020753141657592,6.379510242764493e-05,0.017895714740899408,0.018145791542415777,0.9213125,0.0008905118344522557,0.9195670968044736,0.9230579031955264,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,0.12690621361763652,1.0398598507958135e-05,0.1268858323645609,0.12692659487071212,-0.027287619355800846,0.0012631877260107312,-0.02976346729878188,-0.024811771412819813,0.07066666666666667,0.004367456882201529,0.062106451177551675,0.07922688215578166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unweighted_uniform,False,0.0,0.0,10,144,48,9,ordinary_kg,1000,0.11243577573917668,0.0012276658667602018,0.11002955064032668,0.11484200083802668,0.45744444444444443,0.00444014779520992,0.448741754765833,0.46614713412305586,0.0180207531416576,6.379510242764496e-05,0.017895714740899415,0.018145791542415784,0.9213125,0.0008905118344522557,0.9195670968044736,0.9230579031955264,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,0.12690621361763652,1.0398598507958135e-05,0.1268858323645609,0.12692659487071212,-0.027287619355800846,0.0012631877260107312,-0.02976346729878188,-0.024811771412819813,0.07066666666666667,0.004367456882201529,0.062106451177551675,0.07922688215578166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unweighted_uniform,False,0.0,0.0,10,144,48,9,two_channel_uniform,1000,0.1752570178396711,0.0013923441851856734,0.17252802323670718,0.177986012442635,0.3046666666666667,0.004137785569307055,0.29655660695082486,0.31277672638250853,0.020197051277918432,4.904823768445229e-05,0.020100916732056905,0.02029318582377996,0.9190625,0.0008496931733900022,0.9173971013801556,0.9207278986198444,144.0,0.0,144.0,144.0,0.8780555555555559,0.0011734869048951524,0.8757555212219614,0.8803555898891504,17.56,0.16898211430490195,17.22879505596239,17.891204944037607,12.644,0.0168982114304902,12.61087950559624,12.677120494403761,0.13301046847329265,1.0393999270033126e-05,0.13299009623472338,0.13303084071186191,0.03553362274469358,0.0015245260409637266,0.03254555170440467,0.038521693784982484,-0.08211111111111112,0.004849314300240381,-0.09161576713958226,-0.07260645508263998,0.06282124210049443,0.0015292687741002727,0.0598238753032579,0.06581860889773096,-0.15277777777777782,0.004959549172272589,-0.1624984941554321,-0.14305706140012353
unweighted_uniform,False,0.0,0.0,10,144,48,9,balanced_mix,1000,0.15818249082430452,0.001401582666727805,0.15543538879751803,0.160929592851091,0.3413333333333334,0.004343782763399799,0.33281951911706975,0.349847147549597,0.019151708525718774,5.969495119757416e-05,0.01903470642137153,0.019268710630066018,0.9216458333333333,0.000880850152262427,0.919919367034899,0.9233722996317676,144.0,0.0,144.0,144.0,0.4770833333333333,0.0030893640027595463,0.4710281798879246,0.483138486778742,75.3,0.4448684163973747,74.42805790386114,76.17194209613885,6.87,0.04448684163973747,6.7828057903861145,6.957194209613886,0.1296117941438971,2.5312394936599382e-05,0.12956218184982135,0.12966140643797283,0.01845909572932699,0.001399751947508437,0.015715581912210452,0.021202609546443527,-0.04544444444444444,0.004485020814667898,-0.05423508524119352,-0.03665380364769536,0.04574671508512783,0.0014162876780464287,0.04297079123615683,0.048522638934098826,-0.11611111111111112,0.004609029912789013,-0.12514480974017758,-0.10707741248204466
unweighted_uniform,False,0.0,0.0,10,144,48,9,validation_only,1000,0.18383555623723152,0.0014162842819590447,0.1810596390445918,0.18661147342987125,0.2846666666666666,0.004144828024470842,0.27654280373870377,0.2927905295946295,0.020590111211216545,4.3450705234154677e-05,0.020504947828957603,0.020675274593475488,0.9173541666666666,0.000815284343090106,0.91575620935421,0.9189521239791232,140.0,0.0,140.0,140.0,0.972222222222222,7.025180405943273e-18,0.972222222222222,0.972222222222222,0.0,0.0,0.0,0.0,14.0,0.0,14.0,14.0,0.13412623305802213,8.218328754208861e-07,0.1341246222655863,0.13412784385045795,0.04411216114225398,0.0016380879674744084,0.04090150872600414,0.047322813558503825,-0.10211111111111111,0.005106944620072582,-0.11212072256645338,-0.09210149965576885,0.07139978049805483,0.0015736220562624,0.06831548126778053,0.07448407972832913,-0.17277777777777784,0.005007409332408963,-0.1825923000692994,-0.16296325548625626
unweighted_uniform,False,0.0,0.0,10,144,48,9,two_channel_kg,1000,0.11243577573917668,0.0012276658667602018,0.11002955064032668,0.11484200083802668,0.45744444444444443,0.00444014779520992,0.448741754765833,0.46614713412305586,0.0180207531416576,6.379510242764496e-05,0.017895714740899415,0.018145791542415784,0.9213125,0.0008905118344522557,0.9195670968044736,0.9230579031955264,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,0.12690621361763652,1.0398598507958135e-05,0.1268858323645609,0.12692659487071212,-0.027287619355800846,0.0012631877260107312,-0.02976346729878188,-0.024811771412819813,0.07066666666666667,0.004367456882201529,0.062106451177551675,0.07922688215578166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unweighted_tilt_025,False,0.25,0.0,5,48,48,9,uniform,1000,0.19576912905792135,0.001410210817533907,0.19300511585555488,0.19853314226028781,0.26077777777777783,0.00411555759983595,0.2527112848820994,0.2688442706734563,0.021466116788194482,2.996402132541744e-05,0.021407387306396665,0.0215248462699923,0.9167083333333332,0.000765847430089743,0.9152072723703574,0.9182093942963091,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.13693090729656962,4.519876954675102e-07,0.1369300214006865,0.13693179319245274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016063360812089863,0.0011177295584659606,0.01387261087749658,0.018254110746683146,-0.02788888888888889,0.0032026798767533513,-0.03416614144732546,-0.021611636330452322
unweighted_tilt_025,False,0.25,0.0,5,48,48,9,uniform_blind,1000,0.20335820678532457,0.0014476918730960213,0.20052073071405638,0.20619568285659276,0.245,0.004146048791896004,0.23687374436788383,0.25312625563211616,0.024766799154377486,0.00010201024453579215,0.024566859075087332,0.02496673923366764,0.8894375,0.0011666456260913118,0.887150874572861,0.891724125427139,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.13246921545470125,1.1756157342493042e-06,0.1324669112478621,0.1324715196615404,0.0075890777274032215,0.000984771652326588,0.005658925288843109,0.009519230165963333,-0.01577777777777778,0.002745246051277534,-0.021158460038281746,-0.010397095517273813,0.023652438539493083,0.001259779361007839,0.02118327099191772,0.02612160608706845,-0.04366666666666667,0.003633894996717456,-0.05078910086023289,-0.03654423247310046
unweighted_tilt_025,False,0.25,0.0,5,48,48,9,uncertainty,1000,0.18908487183796802,0.0013960597631540199,0.18634859470218615,0.19182114897374988,0.27844444444444444,0.004117618479465559,0.2703739122246919,0.28651497666419695,0.021468057724294477,2.9907368860733773e-05,0.02140943928132744,0.021526676167261515,0.9170833333333333,0.0007479395565464589,0.9156173718025022,0.9185492948641643,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.1368680535928126,0.0,0.1368680535928126,0.1368680535928126,-0.006684257219953361,0.0010506912774715935,-0.008743612123797685,-0.0046249023161090376,0.017666666666666667,0.002948997367642645,0.011886631826087082,0.023446701507246252,0.009379103592136503,0.0010912630088594007,0.007240228094772077,0.011517979089500929,-0.010222222222222223,0.00291912854031673,-0.015943714161243013,-0.004500730283201432
unweighted_tilt_025,False,0.25,0.0,5,48,48,9,boundary,1000,0.1821559910220599,0.0013749728307380174,0.17946104427381337,0.18485093777030642,0.2907777777777778,0.004109126666214614,0.2827238895119972,0.29883166604355843,0.02138778372495878,2.9418176059368983e-05,0.021330124099882417,0.021445443350035145,0.9179583333333332,0.0007232982186421232,0.9165406688247947,0.9193759978418717,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.13713110739475437,9.598510336297976e-07,0.13712922608672845,0.1371329887027803,-0.013613138035861446,0.0010581936449825296,-0.015687197580027203,-0.011539078491695689,0.030000000000000002,0.0032240262037158134,0.023680908640717008,0.036319091359283,0.002450222776228416,0.0009400162490944951,0.0006077909280032055,0.004292654624453626,0.002111111111111111,0.002664847097307336,-0.003111989199611267,0.0073342114218334885
unweighted_tilt_025,False,0.25,0.0,5,48,48,9,bias_blind_kg,1000,0.19852250428326307,0.0013666748836818484,0.19584382151124666,0.20120118705527948,0.25033333333333335,0.004009700110847387,0.24247432111607248,0.2581923455505942,0.029066460652140566,0.00012816485780941237,0.028815257530834117,0.029317663773447016,0.8505208333333333,0.0012672550502743239,0.8480370134347957,0.8530046532318709,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.1327453236170723,1.949115579073324e-06,0.13274150335053733,0.13274914388360728,0.0027533752253416973,0.0011112979108768935,0.0005752313200229862,0.004931519130660408,-0.010444444444444445,0.003231805691067292,-0.016778783598936337,-0.0041101052899525535,0.018816736037431562,0.001110818053310268,0.016639532652943437,0.020993939421919686,-0.03833333333333333,0.00307265867854072,-0.04435574434327314,-0.03231092232339352
unweighted_tilt_025,False,0.25,0.0,5,48,48,9,ordinary_kg,1000,0.1797057682458315,0.0013850878787358722,0.1769909960035092,0.18242054048815382,0.2886666666666667,0.004198506236164112,0.280437594443785,0.29689573888954834,0.02134444624934816,2.9940133514115557e-05,0.021285763587660492,0.021403128911035827,0.9168958333333332,0.0007407248066667091,0.9154440127122665,0.9183476539544,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.1370259416835632,7.373127726167312e-07,0.13702449655052887,0.1370273868165975,-0.016063360812089863,0.0011177295584659606,-0.018254110746683146,-0.01387261087749658,0.02788888888888889,0.0032026798767533513,0.021611636330452322,0.03416614144732546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
