org_code,org_name,benchmark_group,ess_factor,assumed_beta,assumed_tau,assumed_individual_sd,nominal_burnout_n,observed_burnout,posterior_mean,posterior_sd,repeat_floor_sd,selected,review_slots,ordinary_KG,validation_KG,ordinary_KG_per_cost,validation_KG_per_cost,preferred_channel,action_priority_rank,evidence_type
RMC,Bolton NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,2678,4.76416657366604,4.767502675367067,0.047856024382639625,0.0,True,36,4.533800461513868e-25,4.533800461513868e-25,4.533800461513868e-25,9.067600923027736e-26,ordinary,15,model_conditional_scenario_no_new_NHS_observations
RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,2236,4.938009896188618,4.938112532944027,0.052276317700726,0.0,False,36,7.083093625363911e-178,7.083093625363911e-178,7.083093625363911e-178,1.4166187250727822e-178,ordinary,58,model_conditional_scenario_no_new_NHS_observations
RMY,Norfolk and Suffolk NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1.0,0.0,0.35,2.5,3589,4.828751733855252,4.834404075935857,0.041436980347320525,0.0,True,36,0.0,0.0,0.0,0.0,ordinary,126,model_conditional_scenario_no_new_NHS_observations
RN3,Great Western Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,3628,5.045833543992019,5.044402055828853,0.041216765768564416,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,127,model_conditional_scenario_no_new_NHS_observations
RN5,Hampshire Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,4192,5.077659721310114,5.07603581709553,0.0383797771187733,4.656612873077393e-10,False,36,0.0,0.0,0.0,0.0,ordinary,128,model_conditional_scenario_no_new_NHS_observations
RN7,Dartford and Gravesham NHS Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,1909,5.079731080231118,5.076161760099632,0.05646894994572352,6.585445079827193e-10,False,36,0.0,0.0,0.0,0.0,ordinary,129,model_conditional_scenario_no_new_NHS_observations
RNA,The Dudley Group NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,2397,4.679990273107688,4.685463674715488,0.050528044598575614,0.0,True,36,3.6516694552641786e-157,3.6516694552641786e-157,3.6516694552641786e-157,7.303338910528357e-158,ordinary,55,model_conditional_scenario_no_new_NHS_observations
RNK,Tavistock and Portman NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1.0,0.0,0.35,2.5,392,5.270150977911881,5.265759015303498,0.11877584867974118,0.0,False,36,3.393384023405693e-17,3.393384023405693e-17,3.393384023405693e-17,6.786768046811386e-18,ordinary,9,model_conditional_scenario_no_new_NHS_observations
RNN,North Cumbria Integrated Care NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,3822,5.044767141702418,5.043421404955133,0.040171228741301176,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,130,model_conditional_scenario_no_new_NHS_observations
RNQ,Kettering General Hospital NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,2595,4.799163194662444,4.801929139972486,0.048600799535354254,0.0,True,36,1.7690886463358937e-05,1.7690886463358937e-05,1.7690886463358937e-05,3.5381772926717874e-06,ordinary,2,model_conditional_scenario_no_new_NHS_observations
RNS,Northampton General Hospital NHS Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,3144,4.835477210198987,4.8371879948404715,0.04422859978062727,0.0,False,36,2.4082340733986205e-29,2.4082340733986205e-29,2.4082340733986205e-29,4.816468146797241e-30,ordinary,19,model_conditional_scenario_no_new_NHS_observations
RNU,Oxford Health NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1.0,0.0,0.35,2.5,4537,5.324667624556779,5.323637291164515,0.0369085801222789,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,131,model_conditional_scenario_no_new_NHS_observations
RNZ,Salisbury NHS Foundation Trust,Acute&Acute Community Trusts,1.0,0.0,0.35,2.5,2465,4.993064704590668,4.992041586322858,0.04984056179002961,0.0,False,36,0.0,0.0,0.0,0.0,ordinary,132,model_conditional_scenario_no_new_NHS_observations
