analysis_stage,scenario,weighted,kappa,validation_kappa,audit_cost,budget,units,k,policy,state,ordinary_count_mean,validation_count_mean,mean_estimate,reference
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,39,31.16,1.88,8.555168378500817,8.497960372960375
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,40,30.04,1.64,8.555351842240578,8.43805003460892
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,41,31.44,2.12,8.552218338120726,8.179193899782135
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,44,29.72,2.08,8.559622122656616,8.715135738192634
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,45,29.36,1.6,8.558148333775097,8.683043063859284
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,46,31.76,1.88,8.560505352912562,8.805004409171076
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,48,29.8,1.64,8.55562955859968,8.50069498069498
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,49,30.16,2.32,8.555261684228267,8.465273829827554
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,50,31.32,2.44,8.55875334224716,8.580938833570412
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,51,30.12,1.84,8.557631648267126,8.594168096054887
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,53,31.0,1.24,8.55543279606848,8.444160681032189
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,54,30.0,1.92,8.554604642973842,8.267142457318778
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,55,31.48,2.12,8.556942416726997,8.5075743170438
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,balanced_mix,56,31.2,1.92,8.558403787019849,8.636943744752307
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,01,20.0,3.08,8.554271084254559,8.35949741315595
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,02,20.0,3.76,8.556936370143598,8.635873229939312
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,04,20.0,3.52,8.556407976038237,8.519881085098477
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,05,20.0,3.6,8.554073329698634,8.29320987654321
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,06,20.0,3.6,8.55417698726992,8.431945521937767
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,08,20.0,4.04,8.555953042204393,8.508233957978423
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,09,20.0,3.76,8.557332959234708,8.553915436577434
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,10,20.0,3.76,8.5589708514925,8.68655574679671
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,11,20.0,3.56,8.559796452773755,8.715625586193958
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,12,20.0,3.72,8.557673822748747,8.560529336304098
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,13,20.0,3.4,8.556052299710226,8.443810730882975
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,15,20.0,4.48,8.559224816929444,8.658482845451683
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,16,20.0,3.44,8.556604822094924,8.519994162288384
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,17,20.0,3.92,8.559279428762194,8.66492682427592
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,18,20.0,3.16,8.556236410225424,8.485706993363962
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,19,20.0,3.8,8.556981022264463,8.577984966753396
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,20,20.0,3.72,8.5571066164086,8.534743722050223
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,22,20.0,3.8,8.554322551141217,8.30594265577447
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,23,20.0,3.6,8.557551612767002,8.594057633792733
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,24,20.0,3.4,8.560471290087971,8.630635650276268
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,25,20.0,3.36,8.558270340527635,8.637808611816821
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,26,20.0,4.24,8.555708366434578,8.529325204961111
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,27,20.0,3.52,8.557988221911376,8.632127728901924
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,28,20.0,5.08,8.560240806983925,8.698599093531108
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,29,20.0,3.12,8.554632691396067,8.384601691143747
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,30,20.0,3.84,8.557394317844382,8.572748028227481
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,31,20.0,3.4,8.562980955399453,8.814423125346226
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,32,20.0,2.88,8.553357724973525,8.271645021645021
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,33,20.0,3.76,8.560206285131539,8.757779437391088
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,34,20.0,3.72,8.558612785915868,8.648255191607793
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,35,20.0,4.04,8.55266545349769,8.344547053649956
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,36,20.0,3.92,8.557066736071535,8.55199342375668
