scenario,weighted,kappa,validation_kappa,audit_cost,budget,units,k,policy,ordinary_count_mean,validation_count_mean,mean_estimate,reference,state
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,39.82,0.0,8.569157683691227,8.637808611816821,25
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,39.92,0.0,8.554067815493392,8.529325204961111,26
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.32,0.0,8.565761173465702,8.632127728901924,27
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.52,0.0,8.569785371020473,8.698599093531108,28
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,39.42,0.0,8.54205336623635,8.384601691143747,29
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.42,0.0,8.558891279661841,8.572748028227481,30
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.72,0.0,8.584211792498383,8.814423125346226,31
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.06,0.0,8.53342414606149,8.271645021645021,32
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,38.82,0.0,8.578459312886757,8.757779437391088,33
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,39.62,0.0,8.567532628539709,8.648255191607793,34
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.58,0.0,8.533429524687165,8.344547053649956,35
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.66,0.0,8.555504048152711,8.55199342375668,36
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,39.7,0.0,8.551195602538147,8.525340283811179,37
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,39.7,0.0,8.593111118799555,8.852889474840696,38
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.18,0.0,8.55311079840688,8.497960372960375,39
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.5,0.0,8.546425333872007,8.43805003460892,40
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,39.4,0.0,8.52361435954009,8.179193899782135,41
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,39.4,0.0,8.573710190013,8.715135738192634,44
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,39.1,0.0,8.568032002746765,8.683043063859284,45
